resId,url,des,version
guildOfferConfig,config/guildOffer.csv,帮会权限配置,0.0.1
renownPartnerConfig,config/renownPartner.csv,声望伙伴配置,0.0.1
practiceConfig,config/practice.csv,修炼配置,0.0.1
storyConfig,config/storyConfig.ini,剧情配置,0.0.1
skillInfoConfig,config/skill.csv,技能配置说明,0.0.1
talentConfig,config/roleTalent.csv,人物天赋说明,0.0.1
advanceConfig,config/getAdvanceQualityPointNeed.csv,人物进阶配置,0.0.1
getAdvanceQualityPoint,config/getAdvanceQualityPoint.csv,进阶花费配置,0.0.1
useAdvanceQualityConfig,config/useAdvanceQualityPoint.csv,进阶点数花费配置,0.0.1
graspConfig,config/perception.csv,领悟配置,0.0.1
worldMapConfig,config/worldMap.csv,世界地图配置,0.0.1
intimateConfig,config/intimacy.csv,亲密度配置,0.0.1
initSkillConfig,config/initSkill.csv,初始化技能,0.0.1
skillTalentConfig,config/skillTalent.csv,天赋配置,0.0.1
archaeusLevelConfig,config/archaeusLevel.csv,元气等级配置,0.0.1
talentPartnerConfig,config/talentPartner.csv,玩家天赋技能配置,0.0.1
skillSortConfig,config/skillSort.csv,技能分类,0.0.1
awardByOpenServerConfig,config/awardByOpenServer.csv,开服活动配置,0.0.1
dareDuplicateConfig,config/dareDuplicate.csv,挑战副本配置,0.0.1
soloMonsterTeamConfig,config/soloMonsterTeam.csv,单人怪物组配置,0.0.1
duplicateBuffConfig,config/duplicateBuff.csv,副本buffer,0.0.1
equipQualityConfig,config/equip-quality.csv,强化配置,0.0.1
pirateTreasureExchangeConfig,config/pirateTreasureExchangeConfig.csv,海盗洞兑换配置,0.0.1
pirateTreasureClose,config/pirateTreasureClose.csv,海盗洞档次奖励配置,0.0.1
equipLevelConfig,config/equip-level.csv,强化等级配置,0.0.1
refreshConfig,config/repark.csv,洗练配置,0.0.1
tefreshPropertiesConfig,config/repark-properties.csv,洗练配置,0.0.1
chapterTargetConfig,config/chapterTarget.csv,副本目标配置,0.0.1
chapterTargetRewardConfig,config/chapterTargetReward.csv,副本目标奖励配置,0.0.1
duplicateTargetConfig,config/duplicateTarget.csv,副本奖励配置,0.0.1
eliteDuplicateConfig,config/eliteDuplicate.csv,精英副本配置,0.0.1
runesConfig,config/runes.csv,雕纹配置,0.0.1
selectPassiveSkillConfig,config/selectPassiveSkill.csv,被动技能配置,0.0.1
equipStrengthenConfig,config/equipStrengthenConfig.csv,装备强化,0.0.1
equipSophisticationConfig,config/equipSophisticationConfig.csv,装备强化属性与基础数值,0.0.1
bossConfig,config/boss.csv,boss配置,0.0.1
dragonWishItemConfig,config/dragonWishItemConfig.csv,许愿出现装备,0.0.1
dragonWishExchangeConfig,config/dragonWishExchangeConfig.csv,许愿兑换装备,0.0.1
divinationCardTypeConfig,config/divinationCardType.csv,占卜奖励配置文件,0.0.1
guideConfig,config/guideConfig.csv,新手引导配置表,0.0.1
figthingGradeRewardConfig,config/figthingGradeReward.csv,战斗力评级配置,0.0.1
ArenaRankRewardConfig,config/ArenaRankRewardConfig.csv,竞技场奖励配置,0.0.1
everydayTaskConfig,config/everydayTask.csv,每日任务配置,0.0.1
everydayTaskRewardConfig,config/everydayTaskReward.csv,每日任务奖励配置,0.0.1
eliteMonsterTeamConfig,config/eliteMonsterTeam.csv,精英怪物组,0.0.1
storeConfig,config/store.csv,商店配置,0.0.1
talksConfig,config/talks.csv,会谈配置,0.0.1
AdvanceMorphConfig,config/AdvanceMorphConfig.csv,变身配置,0.0.1
functionBookConfig,config/functionBookConfig.csv,宝典配置,0.0.1
activityConfig,config/activity.csv,活动配置,0.0.1
onlineRewardConfig,config/onlineRewardConfig.csv,在线奖励配置,0.0.1
rewardHall,config/rewardHall.csv,奖励大厅奖励配置,0.0.1
newAdvanceConfig,config/advance.csv,新进阶配置,0.0.1
changeConfig,config/shapeShifted.csv,新变身配置,0.0.1
skillUpConfig,config/skillUp.csv,被动技能升级配置,0.0.1
signInConfig,config/signInConfig.csv,在线奖励配置,0.0.1
partnerAtlasConfig,config/partnerAtlasConfig.csv,伙伴图鉴配置,0.0.1
hellCrisis,config/hellCrisis.csv,地狱关卡配置,0.0.1
hellDuplicate,config/hellDuplicate.csv,地狱副本配置,0.0.1
hellChapterTargetReward,config/hellChapterTargetReward.csv,地狱副本目标奖励配置,0.0.1,0.0.1
hellMonsterTeam,config/hellMonsterTeam.csv,地狱怪物队伍配置,0.0.1
functionHeraldConfig,config/functionHeraldConfig.csv,功能预告,0.0.1
qqVipsGrowUpRewardConfig,config/qqVipsGrowUpReward.csv,qq黄钻用户人物等级成长礼包,0.0.1
qqVipsByEverydayRewardConfig,config/qqVipsByEverydayReward.csv,qq黄钻用户每日成长礼包,0.0.1
qqVipsNoviceRewardConfig,config/qqVipsNoviceReward.csv,qq黄钻用户新手礼包,0.0.1
answerOfExamConfig,config/answerOfExam.csv,知识竞答题库配置,0.0.1
activeDegreeTask,config/activeDegreeTask.csv,神龙许愿(活跃度),0.0.1
activeDegreeBox,config/activeDegreeBox.csv,活跃度宝箱配置,0.0.1
Achieve,config/Achieve.csv,成就配置,0.0.1
AchieveLevel,config/AchieveLevel.csv,成就等级配置,0.0.1
Title,config/Title.csv,称号配置,0.0.1
qqYearVipsByEverydayRewardConfig,config/qqYearVipsByEverydayReward.csv,qq黄钻年费用户每日成长礼包,0.0.1
rechargeRebateConfig,config/rechargeRebate.csv,冲值返利配置,0.0.1
goldMetallurgyConfig,config/goldMetallurgy.csv,炼金配置,0.0.1
growUpFundConfig,config/growUpFund.csv,成长基金配置,0.0.1
MusicConfig,config/MusicConfig.csv,音乐音效配置,0.0.1
fightUpUI,gui/fightUp.swf,战斗力提升界面,0.0.1
wareHouseUI,gui/wareHouse.swf,仓库界面,0.0.1
alert,gui/alertUI.swf,错误提示界面,0.0.1
login,gui/login.swf,登录界面,0.0.1
createrole,gui/createrole.swf,创建角色界面,0.0.1
tipsUI,gui/tipsUI.swf,悬浮框资源,0.0.1
mainUI,gui/mainUI.vcs,主界面,0.0.1
roleShadow,effect/RoleShadow.swf,所有人物的影子特效,0.0.1
strengthenUI,gui/strengthenUi.swf,强化面板,0.0.1
partner,gui/partner.swf,伙伴界面,0.0.1
mapTargetIcon,effect/MapTargetIcon.swf,地图点击特效,0.0.1
employ,gui/employ.swf,招募面板,0.0.1
formationUI,gui/formationUI.swf,阵形面板,0.0.1
backpack,gui/backpack.swf,背包面板,0.0.1
duplicateUI,gui/duplicate.swf,副本选择面板,0.0.1
cityPanel,gui/cityPanel.swf,城市面板,0.0.1
crisisUI,gui/crisisPanel.swf,关卡面板,0.0.1
pneumaUI,gui/pneumaUI.swf,聚气界面,0.0.1
continuousAttackUI,gui/continuousAttackUI.vcs,连续攻击界面,0.0.1
dareCrisisPanelUI,gui/dareCrisisPanel.swf,精英怪物界面,0.0.1
vigorUI,gui/vigorUI.swf,元气界面,0.0.1
battleSceneUI,gui/battleSceneUI.vcs,战斗界面,0.0.1
npcTaskState,gui/npcTaskState.swf,NPC头顶任务状态,0.0.1
monsterInfoUI,gui/monsterInfoUI.swf,怪物信息面板,0.0.1
factionUI,gui/factionUI.swf,帮会面板,0.0.1
partnerTalkUI,gui/partnerTalkUI.swf,会谈界面,0.0.1
skillUI,gui/skillUI.swf,技能资源,0.0.1
nameLib,namelib.vcs,姓名库,0.0.1
gmUI,gui/gmUI.vcs,GM控制台,0.0.1
taskUI,gui/taskUI.vcs,任务面板,0.0.1
taskTrackUI,gui/taskTrackUI.vcs,任务追踪面板,0.0.1
npcDialogBoxUI,gui/npcDialogBox.vcs,NPC聊天框,0.0.1
talkUI,gui/talkUI.vcs,聊天框,0.0.1
storyUI,gui/storyUI.vcs,剧情UI,0.0.1
friendUI,gui/friendUI.swf,好友面板,0.0.1
talentUI,gui/talent.swf,天赋面板,0.0.1
advanceUI,gui/advanceUI.swf,进阶面板,0.0.1
alertCheckUI,gui/alertCheck.swf,提示框带单选框的,0.0.1
graspUI,gui/grasp.swf,领悟,0.0.1
practiceUI,gui/practice.swf,修炼,0.0.1
transmitUI,gui/transmit.swf,传送,0.0.1
worldMapUI,gui/worldMap.swf,地图,0.0.1
giftUI,gui/giftUI.swf,礼物,0.0.1
multiBattleSceneUI,gui/MultiBattleScene.vcs,多人战界面,0.0.1
chapterTargetUI,gui/chapterTarget.swf,章节奖励界面,0.0.1
eliteDuplicateUI,gui/eliteDuplicate.swf,精英副本,0.0.1
selectEliteDuplicateUI,gui/selectEliteDuplicate.vcs,精英副本选择界面,0.0.1
intimateInhertUI,gui/intimateInhertUI.swf,亲密度传承,0.0.1
teamDuplicateUI,gui/teamDuplicate.swf,组队副本界面,0.0.1
campUI,gui/camp.swf,营地界面,0.0.1
campControlUI,gui/campControl.swf,营地控制室界面,0.0.1
campStoreUI,gui/campStore.swf,营地载具室界面,0.0.1
campTrainUI,gui/campTrain.swf,营地训练室,0.0.1
campProduceUI,gui/campProduce.swf,营地生产室,0.0.1
campStudyUI,gui/campStudy.swf,营地研究室界面,0.0.1
campHomeUI,gui/campHome.swf,营地家界面,0.0.1
campHouseUI,gui/campHouse.swf,房子界面,0.0.1
campFriendUI,gui/campFriendsOrder.swf,好友订单界面,0.0.1
equipMakeUI,gui/equipMake.swf,装备制作界面,0.0.1
bossChallengeUI,gui/bossChallenge.swf,世界BOSS界面,0.0.1
MailUI,gui/MailUI.swf,邮件面板,0.0.1
dragonBallFindUI,gui/dragonBallFind.swf,龙珠寻宝界面,0.0.1
PirateHoleUI,gui/PirateHoleUI.swf,海盗洞界面,0.0.1
VowUI,gui/VowUI.swf,神龙许愿,0.0.1
divineUI,gui/divine.swf,占卜,0.0.1
AthleticsUI,gui/AthleticsUI.swf,竞技场,0.0.1
personalInfoUI,gui/personalInfo.swf,个人信息界面,0.0.1
searchPlayerUI,gui/searchPlayer.swf,查看玩家信息界面,0.0.1
SophisticateUI,gui/SophisticateUI.swf,历练界面,0.0.1
dailyTaskUI,gui/dailyTask.swf,日常任务,0.0.1
ResourcerobUI,gui/ResourcerobUI.swf,资源战界面,0.0.1
storeUI,gui/store.swf,商店界面,0.0.1
TalksView,gui/TalksView.swf,会谈界面,0.0.1
functionBookView,gui/functionBookView.swf,宝典界面,0.0.1
EverySignView,gui/EverySignView.swf,每日登录界面,0.0.1
diamondUI,gui/QQDiamond.swf,QQ黄钻特权界面,0.0.1
onlineReward,gui/onlineReward.swf,在线礼包界面,0.0.1
AwardLobbyUI,gui/AwardLobbyUI.swf,奖励大厅界面,0.0.1
activityUI,gui/activity.swf,活动界面,0.0.1
openServerActivityUI,gui/openServerActivity.swf,开服活动界面,0.0.1
RechargeUI,gui/RechargeUI.swf,VIP充值界面,0.0.1
firstDeltaUI,gui/firstDelta.swf,首冲礼包界面,0.0.1
partnerAtlasUI,gui/partnerAtlasUI.swf,伙伴图鉴界面,0.0.1
servantUI,gui/servant.swf,征服下属界面,0.0.1
answerUI,gui/answer.swf,每日答题界面,0.0.1
rankUI,gui/rank.swf,排行榜界面,0.0.1
VitalityEffect,gui/VitalityEffect.swf,神龙许愿特效,0.0.1
VitalityUI,gui/VitalityUI.swf,神龙许愿(活跃度)界面,0.0.1
AcqioreUI,gui/AcqioreUI.swf,成就and称号界面,0.0.1
touristTrapUI,gui/touristTrap.swf,神秘商店界面,0.0.1
chongZhiUI,gui/chongZhi.swf,冲值界面,0.0.1
weChatUI,gui/weChat.swf,微信分享界面,0.0.1
loopUI,gui/loopUI.swf,跑环任务界面,0.0.1
runLoopReward,config/runLoopReward.csv,跑环奖励配置,0.0.1
