成就Id,成就主类型,大类型选项名称,成就小类型,小类型选项名称,成就名称,成就描述,成就分数,所需进度,获得称号(称号id),是否需要进度条,图标ID
24,1,副本,2,副本奖励,恶魔的赠礼,获得第6章副本的所有奖励,80,1,0,0,201
25,1,副本,2,副本奖励,天下第一的荣誉,获得第7章副本的所有奖励,90,1,0,0,201
26,1,副本,3,击败部队,火焰山的宝藏,在副本中与牛魔王的战斗获得3星评价,30,3,0,0,301
27,1,副本,3,击败部队,沙漠中的暗影,在第一章副本中与乐平的战斗获得3星评价,35,3,8,0,302
28,1,副本,3,击败部队,勇者斗恶龙,在副本中与霸王龙的战斗获得3星评价,40,3,0,0,303
29,1,副本,3,击败部队,碳烤大章鱼,在副本中与大章鱼的战斗获得3星评价,45,3,9,0,304
30,1,副本,3,击败部队,武道之神,在副本中与秦龙的战斗获得3星评价,50,3,0,0,305
31,1,副本,3,击败部队,善良的人造人,在副本中与人造人8号的战斗获得3星评价,55,3,0,0,306
32,1,副本,3,击败部队,无懈可击的怪物,在副本中与布幽的战斗获得3星评价,60,3,10,0,307
33,1,副本,3,击败部队,北都恶霸,在副本中与白将军的战斗获得3星评价,65,3,11,0,308
34,1,副本,3,击败部队,黑绸匪首,在副本中与机械青副官的战斗获得3星评价,70,3,0,0,309
35,1,副本,3,击败部队,无影无踪,在副本中与透明人的战斗获得3星评价,75,3,0,0,310
36,1,副本,3,击败部队,木乃伊的诅咒,在副本中与木乃伊的战斗获得3星评价,80,3,0,0,311
37,1,副本,3,击败部队,地狱使者,在副本中与地狱使者的战斗获得3星评价,85,3,0,0,312
38,1,副本,3,击败部队,垫脚石,在副本中与莫西干头男的战斗获得3星评价,90,3,0,0,313
39,1,副本,3,击败部队,过气王者,在副本中与柴巴王的战斗获得3星评价,95,3,0,0,314
40,1,副本,3,击败部队,可敬的对手,在副本中与天津饭的战斗获得3星评价,100,3,0,0,315
41,1,副本,3,击败部队,巅峰对决,在第七章副本中与孙悟空的战斗获得3星评价,105,3,12,0,316
42,1,副本,3,击败部队,拯救世界,在第七章副本中与短笛大魔王的战斗获得3星评价,110,3,13,0,317
43,1,副本,4,攻击失败,亲，该强化了,在副本中攻击失败1次,30,1,0,0,401
44,1,副本,4,攻击失败,今天强化了吗？,在副本中攻击失败5次,50,5,0,1,401
45,1,副本,4,攻击失败,独孤求败,在副本中攻击失败15次,70,15,14,1,401
46,1,副本,4,攻击失败,休息一下吧,在副本中攻击失败30次,80,30,0,1,401
47,1,副本,4,攻击失败,撒旦的化身,在副本中攻击失败100次,90,100,15,1,401
48,1,副本,4,攻击失败,不作死不会死,在副本中攻击失败200次,100,200,16,1,401
49,2,人物,5,累计,第一桶索尼,单次探险获得30000索尼,10,30000,0,0,501
50,2,人物,5,累计,发家致富,单次探险获得45000索尼,20,45000,0,0,501
51,2,人物,5,累计,加勒比宝藏,单次探险获得60000索尼,30,60000,17,0,501
52,2,人物,5,累计,索尼雨,单次探险获得75000索尼,40,75000,0,0,501
53,2,人物,5,累计,点石成金,单次探险获得100000索尼,50,100000,18,0,501
54,2,人物,5,累计,成就，我来了,成就值超过1000,30,1000,0,1,502
55,2,人物,5,累计,放开成就，让我来,成就值超过2000,30,2000,0,1,502
56,2,人物,5,累计,我是成就达人,成就值超过5000,50,5000,19,1,502
57,2,人物,5,累计,不明觉厉,成就值超过7000,50,7000,0,1,502
58,2,人物,5,累计,事了拂衣去，深藏功与名,成就值超过8000,60,8000,20,1,502
59,2,人物,5,累计,享誉一方,成就值超过10000,30,10000,21,1,502
60,2,人物,5,累计,知名天下,成就值超过11000,40,11000,0,1,502
61,2,人物,5,累计,不要迷恋哥，哥只是哥传说,成就值超过12000,50,12000,22,1,502
62,2,人物,5,累计,哥已不在江湖，江湖却有哥的传说,成就值超过13000,60,13000,23,1,502
63,2,人物,5,累计,声望什么，都是浮云~,成就值超过15000,70,15000,24,1,502
64,2,人物,5,累计,图样图森破,阅历值超过150000,30,150000,0,1,503
65,2,人物,5,累计,长姿势了,阅历值超过500000,50,500000,0,1,503
66,2,人物,5,累计,见多识广,阅历值超过1000000,70,1000000,0,1,503
67,2,人物,5,累计,博大精深，佩服、佩服,阅历值超过2000000,90,2000000,0,1,503
68,2,人物,5,累计,我什么没见过？,阅历值超过5000000,110,5000000,0,1,503
69,2,人物,5,累计,已经没有东西能够让我惊讶了,阅历值超过10000000,130,10000000,0,1,503
70,2,人物,5,累计,阅历?没有概念~,阅历值超过20000000,150,20000000,25,1,503
71,2,人物,5,累计,一个格子,开启背包格子1个,30,1,0,0,504
72,2,人物,5,累计,塑料袋,解锁背包5个格子,40,5,0,0,504
73,2,人物,5,累计,麻布袋,解锁背包10个格子,50,10,26,0,504
74,2,人物,5,累计,蛇皮袋,解锁背包20个格子,60,20,0,0,504
75,2,人物,5,累计,“LV”,解锁背包30个格子,70,30,0,0,504
76,2,人物,5,累计,百宝袋,解锁背包50个格子,80,50,27,0,504
77,2,人物,5,累计,纳须弥于芥子,解锁背包100个格子,90,100,28,0,504
78,2,人物,5,累计,大富翁,索尼累计到500万,50,5000000,29,0,505
79,2,人物,5,累计,富甲天下,索尼累计到1000万,70,10000000,0,0,505
80,2,人物,5,累计,金钱帝国,索尼累计到2000万,90,20000000,30,0,505
81,2,人物,5,累计,数字游戏,索尼累计到5000万,110,50000000,31,0,505
82,2,人物,5,累计,第一个伙伴,拥有1个伙伴,1,1,32,0,506
83,2,人物,5,累计,三缺一,拥有3个伙伴,3,3,0,0,506
84,2,人物,5,累计,一桌麻将,拥有4个伙伴,4,4,0,0,506
85,2,人物,5,累计,足球队,拥有10个伙伴,10,10,0,0,506
86,2,人物,5,累计,你单挑我们一群,拥有20个伙伴,20,20,33,0,506
87,2,人物,5,累计,我们群殴你一个,拥有30个伙伴,30,30,0,0,506
88,2,人物,5,累计,强大团伙,拥有50个伙伴,50,50,34,0,506
89,2,人物,6,升级,地球武者的资质,等级到10级,30,10,0,0,601
90,2,人物,6,升级,地球战士极致,等级到20级,30,20,0,0,601
91,2,人物,6,升级,赛亚人的血脉,等级到30级,30,30,35,0,601
92,2,人物,6,升级,超神水的潜能,等级到40级,30,40,0,0,601
93,2,人物,6,升级,天神的特训,等级到50级,30,50,0,0,601
94,2,人物,6,升级,超级赛亚人,等级到60级,30,60,36,0,601
95,2,人物,6,升级,300倍重力,等级到70级,30,70,0,0,601
96,2,人物,6,升级,那美克星战士的极限,等级到80级,30,80,0,0,601
97,2,人物,6,升级,超级赛亚人第二阶,等级到90级,30,90,0,0,601
98,2,人物,6,升级,超级赛亚人第三阶,等级到100级,30,100,37,0,601
99,2,人物,7,家园,要存钱买房子了,所有建筑升级到10级,30,10,0,0,701
100,2,人物,7,家园,油漆甲醛超标了,家园所有建筑都达到20级,50,20,0,0,701
101,2,人物,7,家园,不用油漆用墙纸,家园所有建筑都达到30级,70,30,0,0,701
102,2,人物,7,家园,精装修，健康看得见,家园所有建筑都达到40级,90,40,38,0,701
103,2,人物,7,家园,海景洋房建我所建,家园所有建筑都达到50级,110,50,0,0,701
104,2,人物,7,家园,总有一天建成摩天楼,家园所有建筑都达到60级,130,60,0,0,701
105,2,人物,7,家园,目标天神殿,家园所有建筑都达到70级,150,70,0,0,701
106,2,人物,7,家园,人造天神殿,家园所有建筑都达到80级,170,80,39,0,701
107,2,人物,7,家园,建设新家园,家园所有建筑都达到90级,190,90,0,0,701
108,2,人物,7,家园,完美家园,家园所有建筑都达到100级,210,100,40,0,701
109,2,人物,8,装备,强化的开始,强化任意装备到10级,30,10,41,0,801
110,2,人物,8,装备,真棒！！！,强化任意装备到20级,40,20,0,0,801
111,2,人物,8,装备,噢噢噢！再来试试！,强化任意装备到30级,50,30,0,0,801
112,2,人物,8,装备,哦~必胜！,强化任意装备到40级,60,40,0,0,801
113,2,人物,8,装备,这是逼我去买彩票啊,强化任意装备到50级,70,50,0,0,801
114,2,人物,8,装备,化腐朽为神奇,强化任意装备到60级,80,60,0,0,801
115,2,人物,8,装备,心里终于平静了,强化任意装备到70级,90,70,0,0,801
116,2,人物,8,装备,要永生，信强化,强化任意装备到80级,100,80,42,0,801
117,2,人物,8,装备,我已到了强化最高境界,强化任意装备到90级,110,90,0,0,801
118,2,人物,8,装备,强化之神,强化任意装备到100级,120,100,43,0,801
119,2,人物,8,装备,这只是基本,强化10次装备,30,10,0,0,801
120,2,人物,8,装备,工艺在慢慢成熟,强化50次装备,40,50,44,0,801
121,2,人物,8,装备,热烈祝贺,强化500次装备,50,500,0,0,801
122,2,人物,8,装备,这是一个新里程,强化1000次装备,60,1000,45,0,801
123,2,人物,8,装备,还差一点点而已,强化5000次装备,70,5000,0,0,801
124,2,人物,8,装备,工艺之神,强化10000次装备,80,10000,46,0,801
125,2,人物,8,装备,环保装,拥有一件绿色装备,10,1,0,0,802
126,2,人物,8,装备,深蓝品质,拥有一件蓝色装备,20,1,0,0,803
127,2,人物,8,装备,耀眼赤炎,拥有一件红色装备,30,1,0,0,804
128,2,人物,8,装备,红的发紫,拥有一件紫色装备,40,1,0,0,805
129,2,人物,8,装备,哇！神器！,拥有一件橙色装备,50,1,47,0,806
130,2,人物,8,装备,西瓜,伙伴全身拥有绿色装备,50,1,0,0,807
131,2,人物,8,装备,蓝莓,伙伴全身拥有蓝色装备,60,1,0,0,808
132,2,人物,8,装备,苹果,伙伴全身拥有红色装备,70,1,0,0,809
133,2,人物,8,装备,葡萄,伙伴全身拥有紫色装备,80,1,0,0,810
134,2,人物,8,装备,橘子,伙伴全身拥有橙色装备,90,1,0,0,811
135,2,人物,9,好友,初次相识,拥有1个好友,30,1,0,1,901
136,2,人物,9,好友,好基友,拥有10个好友,40,10,0,1,901
137,2,人物,9,好友,基情四射,拥有20个好友,50,20,0,1,901
138,2,人物,9,好友,死党成群,拥有50个好友,60,50,0,1,901
139,2,人物,9,好友,谁人不识君,拥有80个好友,70,80,0,1,901
140,2,人物,9,好友,基友遍天下,拥有100个好友,80,100,48,1,901
141,2,人物,10,在线,在线超过10小时,在线累积超过10小时,30,10,0,0,1001
142,2,人物,10,在线,在线超过20小时,在线累积超过20小时,35,20,0,0,1001
143,2,人物,10,在线,在线超过50小时,在线累积超过50小时,40,50,0,0,1001
144,2,人物,10,在线,在线超过100小时,在线累积超过100小时,45,100,0,0,1001
145,2,人物,10,在线,在线超过500小时,在线累积超过500小时,50,500,0,0,1001
146,2,人物,10,在线,在线超过1000小时,在线累积超过1000小时,55,1000,0,0,1001
147,2,人物,11,装备制作,装备制作成功,使用工匠村制作出1件装备,10,1,0,1,1101
148,2,人物,11,装备制作,原来这是我的天赋,使用工匠村制作出10件装备,20,10,0,1,1101
149,2,人物,11,装备制作,转职铁匠也不愁吃喝了,使用工匠村制作出50件装备,50,50,0,1,1101
150,2,人物,11,装备制作,优秀工匠,使用工匠村制作装备的时候，遇到1名工匠,10,1,0,0,1102
151,2,人物,11,装备制作,杰出工匠团队,使用工匠村制作装备的时候，遇到3名工匠,20,3,0,0,1102
152,2,人物,11,装备制作,完美工匠团队,使用工匠村制作装备的时候，遇到6名工匠,30,6,0,0,1102
153,2,人物,11,装备制作,自己做的就是好用,使用工匠村制作装备的时候装备品质达到7000,30,7000,0,0,1103
154,2,人物,11,装备制作,应该能卖个好价钱,使用工匠村制作装备的时候装备品质达到8000,40,8000,0,0,1103
155,2,人物,11,装备制作,它就这么发生了,使用工匠村制作装备的时候装备品质达到9000,50,9000,49,0,1103
156,2,人物,11,装备制作,神光附体，没有不可能,使用工匠村制作装备的时候装备品质达到9500,60,9500,0,0,1103
157,2,人物,11,装备制作,神器，真的是神器！,使用工匠村制作装备的时候装备品质达到10000,70,10000,50,0,1103
158,2,人物,12,寻宝,寻宝者,使用寻宝功能1次,1,1,0,0,1201
159,2,人物,12,寻宝,宝物猎人,使用寻宝功能10次,10,10,51,1,1201
160,2,人物,12,寻宝,夺宝奇兵,使用寻宝功能50次,50,50,0,1,1201
161,2,人物,12,寻宝,第一次打劫,在寻宝中打劫1次其他人,30,1,0,1,1202
162,2,人物,12,寻宝,IP、IC、IQ卡，通通告诉我密码,在寻宝中打劫10次其他人,40,10,52,1,1202
163,2,人物,12,寻宝,大哥我先劫个色,在寻宝中打劫50次其他人,50,50,0,1,1202
164,2,人物,12,寻宝,严肃点，不许笑，我们这儿打劫呢  ,在寻宝中打劫100次其他人,60,100,53,1,1202
165,2,人物,12,寻宝,小红纸,在寻宝中刷新出1次红色宝图,30,1,0,0,1203
166,2,人物,12,寻宝,复写纸,在寻宝中刷新出1次紫色宝图,50,1,0,0,1204
167,2,人物,12,寻宝,黄金航线,在寻宝中刷新出1次橙色宝图,70,1,0,0,1205
168,2,人物,13,每日任务,一天的开始,在每日任务中完成1次,10,1,0,0,1301
169,2,人物,13,每日任务,职业玩家,在每日任务中完成10次,20,10,54,1,1302
170,2,人物,13,每日任务,龙珠生活的日常,在每日任务中完成50次,30,50,55,1,1303
171,2,人物,13,每日任务,良好的习惯,在每日任务中完成100次,40,100,0,1,1304
172,2,人物,13,每日任务,今天你做了吗？,在每日任务中完成200次,50,200,0,1,1305
173,2,人物,13,每日任务,相伴每一天,在每日任务中完成300次,60,300,0,1,1306
174,2,人物,13,每日任务,365个日出,在每日任务中完成365次,70,365,56,1,1307
175,2,人物,13,每日任务,积少成多,每日任务积分达到30分,30,30,0,0,1308
176,2,人物,13,每日任务,蚊子再小也是肉,每日任务积分达到60分,60,60,0,0,1308
177,2,人物,13,每日任务,集腋成裘,每日任务积分达到120分,120,120,57,0,1308
178,2,人物,13,每日任务,锁定优质任务,完成10个高品质任务（白色以上品质）,30,10,58,1,1309
179,2,人物,13,每日任务,狙击优质任务,完成50个高品质任务,40,50,0,1,1310
180,2,人物,13,每日任务,精准狙击,完成500个高品质任务,50,500,59,1,1311
181,2,人物,13,每日任务,完美狙击,完成1000个高品质任务,60,1000,0,1,1312
182,2,人物,14,挂机,勤奋的修炼,通过历练10万经验,30,100000,0,0,1401
183,2,人物,14,挂机,刻苦的修炼,通过历练50万经验,40,500000,0,0,1401
184,2,人物,14,挂机,不坠的修炼,通过历练200万经验,50,2000000,60,0,1401
185,2,人物,14,挂机,极致的修炼,通过历练5000万经验,60,50000000,0,0,1401
186,2,人物,14,挂机,影子,连续攻击总次数1次,10,1,0,0,1402
187,2,人物,14,挂机,影分身,连续攻击总次数10次,20,10,0,1,1402
188,2,人物,14,挂机,影武者,连续攻击总次数50次,30,50,61,1,1402
189,2,人物,14,挂机,影子杀手,连续攻击总次数365次,40,365,62,1,1402
190,2,人物,15,好感度,结缘,任意一个伙伴好感度等级10,30,10,0,0,1501
191,2,人物,15,好感度,小伙伴,任意一个伙伴好感度等级30,40,30,63,0,1501
192,2,人物,15,好感度,我的身后没有敌人,任意一个好感度等级50,50,50,0,0,1501
193,2,人物,15,好感度,我会永远守护你,任意一个伙伴好感度等级60,60,60,0,0,1501
194,2,人物,15,好感度,你是我开的挂,任意一个好感度等级90,70,90,64,0,1501
195,3,竞技,16,资源战,小矿窑,占领矿区1次,30,1,0,0,1601
196,3,竞技,16,资源战,大矿区,占领矿区100次,50,100,0,1,1601
197,3,竞技,16,资源战,哈哈，我是窑老板,占领矿区3000次,70,3000,65,1,1601
198,3,竞技,16,资源战,我就是要垄断,占领矿区5000次,90,5000,0,1,1601
199,3,竞技,16,资源战,请叫我大亨,占领矿区10000次,110,10000,66,1,1601
200,3,竞技,16,资源战,这个矿不错哦,占领高级矿1次（铜矿以上）,30,1,0,0,1602
201,3,竞技,16,资源战,运气好而已,占领高级矿100次,50,100,67,1,1602
202,3,竞技,16,资源战,今夜做梦也会笑,占领高级矿5000次,70,5000,0,1,1602
203,3,竞技,16,资源战,不要嫉妒，这就是实力,占领高级矿10000次,90,10000,68,1,1602
204,3,竞技,16,资源战,我的，我的，都是我的,占领高级矿15000次,110,15000,0,1,1602
205,3,竞技,16,资源战,我就是下个李嘉诚,占领高级矿200000次,130,200000,0,1,1602
206,3,竞技,16,资源战,拿些钱来花花吧,掠夺他人占领的矿1次,10,1,0,0,1603
207,3,竞技,16,资源战,大哥我就劫个财,掠夺他人占领的矿100次,20,100,0,1,1603
208,3,竞技,16,资源战,有饭大家吃，有钱大家花！,掠夺他人占领的矿1000次,50,1000,0,1,1603
209,3,竞技,16,资源战,麻匪,掠夺他人占领的矿10000次,50,10000,69,1,1603
210,3,竞技,17,竞技场,竞技者,竞技场中获得10次连胜,30,10,70,0,1701
211,3,竞技,17,竞技场,竞技之王,竞技场中获得20次连胜,50,20,71,0,1701
212,3,竞技,17,竞技场,竞技之神,竞技场中获得50次连胜,70,50,0,0,1701
213,3,竞技,17,竞技场,东方不败,竞技场中单日连胜2次,50,2,0,0,1701
214,3,竞技,17,竞技场,所向披靡,竞技场单日上升50名,50,50,0,0,1701
215,3,竞技,17,竞技场,过五关斩六将,竞技场单日上升100名,100,100,72,0,1701
216,3,竞技,17,竞技场,加冕为王,竞技场获得冠军,100,1,73,0,1702
217,4,公会,18,公会成长,祝贺！公会初成,公会等级达到10级,30,10,0,0,1801
218,4,公会,18,公会成长,第一个里程碑,公会等级达到20级,40,20,74,0,1801
219,4,公会,18,公会成长,战士聚集地,公会等级达到30级,50,30,0,0,1801
220,4,公会,18,公会成长,武士们的乐园,公会等级达到40级,60,40,0,0,1801
221,4,公会,18,公会成长,进击的斗士们,公会等级达到50级,70,50,0,0,1801
222,4,公会,18,公会成长,勇士阵营,公会等级达到60级,80,60,75,0,1801
223,4,公会,18,公会成长,我们的公会,公会等级达到70级,90,70,0,0,1801
224,4,公会,18,公会成长,伟大的集合,公会等级达到80级,100,80,76,0,1801
225,4,公会,18,公会成长,给大家开挂,公会等级达到90级,110,90,0,0,1801
226,4,公会,18,公会成长,成为传说,公会等级达到100级,120,100,77,0,1801
227,4,公会,19,公会成员,一起来吧,公会人数达到10人,30,10,0,0,1901
228,4,公会,19,公会成员,凑几桌麻将,公会人数达到20人,40,20,0,0,1901
229,4,公会,19,公会成员,兄弟连,公会人数达到30人,50,30,78,0,1901
230,4,公会,19,公会成员,朋友不曾孤单过,公会人数达到40人,60,40,0,0,1901
231,4,公会,19,公会成员,兄弟是做一辈子的！,公会人数达到50人,70,50,0,0,1901
232,4,公会,19,公会成员,高调做兄弟，低调做公会,公会人数达到60人,80,60,79,0,1901
233,4,公会,19,公会成员,好兄弟，讲义气,公会人数达到70人,90,70,0,0,1901
234,4,公会,19,公会成员,兄弟的事，一起扛,公会人数达到80人,100,80,0,0,1901
235,4,公会,19,公会成员,出来混打打杀杀的没兄弟怎么行？,公会人数达到90人,110,90,0,0,1901
236,4,公会,19,公会成员,出来混靠三样东西够狠，够义，够人多,公会人数达到100人,120,100,80,0,1901
237,5,活动,20,宇宙boss,妖怪，我是来挑战你的,在宇宙boss中挑战boss10次,30,10,0,1,2001
238,5,活动,20,宇宙boss,妖怪还不死？奉陪到底,在宇宙boss中挑战boss100次,50,100,0,1,2001
239,5,活动,20,宇宙boss,哼哼哼，看你还不死,在宇宙boss中挑战boss1000次,100,1000,81,1,2001
240,5,活动,20,宇宙boss,哈哈哈，我已经天下无敌了,在宇宙boss中伤害量排名第一,100,1,82,1,2003
241,5,活动,20,宇宙boss,都走开，它是我的,在宇宙boss中斩首boss,100,1,83,1,2002
242,5,活动,21,知识竞答,最强大脑,在智力竞答中获得第一名,200,1,84,0,2101
243,5,活动,21,知识竞答,我猜这是正确答案,在知识竞答中正确10次,30,10,0,1,2102
244,5,活动,21,知识竞答,等我先去翻翻书,在知识竞答中正确100次,50,100,0,1,2102
245,5,活动,21,知识竞答,居然都猜对了,在知识竞答中正确1000次,70,1000,85,1,2102
246,5,活动,21,知识竞答,这不是运气，这是实力,在知识竞答中正确5000次,90,5000,0,1,2102
247,5,活动,21,知识竞答,哈哈哈~我是答题王,在知识竞答中正确10000次,110,10000,86,1,2102
248,5,活动,21,知识竞答,龙珠我三岁就倒背如流,在知识竞答中正确30000次,130,30000,0,1,2102
249,5,活动,21,知识竞答,我的大脑就是龙珠百科全书,在知识竞答中正确500000次,150,500000,87,1,2102
250,5,活动,22,组队副本,檫肩而过也是缘,在组队副本中战斗胜利4次,10,4,0,1,2201
251,5,活动,22,组队副本,愿意跟着就来吧,在组队副本中战斗胜利10次,20,10,0,1,2201
252,5,活动,22,组队副本,合作的人们,在组队副本中战斗胜利100次,30,100,0,1,2201
253,5,活动,22,组队副本,战友之情,在组队副本中战斗胜利500次,40,500,88,1,2201
254,5,活动,22,组队副本,团结的力量,在组队副本中战斗胜利1000次,50,1000,0,1,2201
255,5,活动,22,组队副本,不可替代,在组队副本中战斗胜利5000次,60,5000,0,1,2201
256,5,活动,22,组队副本,绝对主力,在组队副本中战斗胜利7000次,70,7000,89,1,2201
257,5,活动,22,组队副本,神一样的队友,在组队副本中战斗胜利10000次,80,10000,90,1,2201
258,6,VIP,23,充值VIP,VIP1,人物充值获得VIP1,10,1,91,0,2401
259,6,VIP,23,充值VIP,VIP2,人物充值获得VIP2,20,2,92,0,2401
260,6,VIP,23,充值VIP,VIP3,人物充值获得VIP3,30,3,93,0,2401
261,6,VIP,23,充值VIP,VIP4,人物充值获得VIP4,40,4,94,0,2401
262,6,VIP,23,充值VIP,VIP5,人物充值获得VIP5,50,5,95,0,2401
263,6,VIP,23,充值VIP,VIP6,人物充值获得VIP6,60,6,96,0,2401
264,6,VIP,23,充值VIP,VIP7,人物充值获得VIP7,70,7,97,0,2401
265,6,VIP,23,充值VIP,VIP8,人物充值获得VIP8,80,8,98,0,2401
266,6,VIP,23,充值VIP,VIP9,人物充值获得VIP9,90,9,99,0,2401
267,6,VIP,23,充值VIP,VIP10,人物充值获得VIP10,100,10,100,0,2401
268,6,VIP,23,充值VIP,VIP11,人物充值获得VIP11,110,11,101,0,2401
269,6,VIP,23,充值VIP,VIP12,人物充值获得VIP12,120,12,102,0,2401
