id,name,icon,pos,lv,costSence,time,addAttri,lvUpCoord
103,攻击力,,1,2,1100,90,9,2
104,攻击力,,1,3,1400,120,12,3
105,攻击力,,1,4,1700,150,15,4
106,攻击力,,1,5,2000,180,18,5
107,攻击力,,1,6,2300,210,21,6
108,攻击力,,1,7,2600,240,24,7
109,攻击力,,1,8,2900,270,27,8
110,攻击力,,1,9,3200,300,30,9
111,攻击力,,1,10,3500,330,33,10
112,攻击力,,1,11,3800,360,36,11
113,攻击力,,1,12,4100,390,39,12
114,攻击力,,1,13,4400,420,42,13
115,攻击力,,1,14,4700,450,45,14
116,攻击力,,1,15,5000,480,48,15
117,攻击力,,1,16,5300,510,51,16
118,攻击力,,1,17,5600,540,54,17
119,攻击力,,1,18,5900,570,57,18
120,攻击力,,1,19,6200,600,60,19
121,攻击力,,1,20,6500,660,63,20
122,攻击力,,1,21,6800,720,66,21
123,攻击力,,1,22,7100,780,69,22
124,攻击力,,1,23,7400,840,72,23
125,攻击力,,1,24,7700,900,75,24
126,攻击力,,1,25,8000,960,78,25
127,攻击力,,1,26,8300,1020,81,26
128,攻击力,,1,27,8600,1080,84,27
129,攻击力,,1,28,8900,1140,87,28
130,攻击力,,1,29,9200,1200,90,29
131,攻击力,,1,30,9500,1290,93,30
132,攻击力,,1,31,9800,1380,96,31
133,攻击力,,1,32,10100,1470,99,32
134,攻击力,,1,33,10400,1560,102,33
135,攻击力,,1,34,10700,1650,105,34
136,攻击力,,1,35,11000,1740,108,35
137,攻击力,,1,36,11300,1830,111,36
138,攻击力,,1,37,11600,1950,114,37
139,攻击力,,1,38,11900,2070,117,38
140,攻击力,,1,39,12200,2190,120,39
141,攻击力,,1,40,12500,2310,123,40
142,攻击力,,1,41,12800,2430,126,41
143,攻击力,,1,42,13100,2580,129,42
144,攻击力,,1,43,13400,2730,132,43
145,攻击力,,1,44,13700,2880,135,44
146,攻击力,,1,45,14000,3030,138,45
147,攻击力,,1,46,14300,3210,141,46
148,攻击力,,1,47,14600,3390,144,47
149,攻击力,,1,48,14900,3570,147,48
150,攻击力,,1,49,15200,3700,150,49
151,攻击力,,1,50,15500,3700,153,50
152,攻击力,,1,51,15800,3700,156,51
153,攻击力,,1,52,16100,3700,159,52
154,攻击力,,1,53,16400,3700,162,53
155,攻击力,,1,54,16700,3700,165,54
156,攻击力,,1,55,17000,3700,168,55
157,攻击力,,1,56,17300,3700,171,56
158,攻击力,,1,57,17600,3700,174,57
159,攻击力,,1,58,17900,3700,177,58
160,攻击力,,1,59,18200,3700,180,59
161,攻击力,,1,60,18500,3700,183,60
162,攻击力,,1,61,18800,3700,186,61
163,攻击力,,1,62,19100,3700,189,62
164,攻击力,,1,63,19400,3700,192,63
165,攻击力,,1,64,19700,3700,195,64
166,攻击力,,1,65,20000,3700,198,65
167,攻击力,,1,66,20300,3700,201,66
168,攻击力,,1,67,20600,3700,204,67
169,攻击力,,1,68,20900,3700,207,68
170,攻击力,,1,69,21200,3700,210,69
171,攻击力,,1,70,21500,3700,213,70
172,攻击力,,1,71,21800,3700,216,71
173,攻击力,,1,72,22100,3700,219,72
174,攻击力,,1,73,22400,3700,222,73
175,攻击力,,1,74,22700,3700,225,74
176,攻击力,,1,75,23000,3700,228,75
177,攻击力,,1,76,23300,3700,231,76
178,攻击力,,1,77,23600,3700,234,77
179,攻击力,,1,78,23900,3700,237,78
180,攻击力,,1,79,24200,3700,240,79
181,攻击力,,1,80,24500,3700,243,80
182,攻击力,,1,81,24800,3700,246,81
183,攻击力,,1,82,25100,3700,249,82
184,攻击力,,1,83,25400,3700,252,83
185,攻击力,,1,84,25700,3700,255,84
186,攻击力,,1,85,26000,3700,258,85
187,攻击力,,1,86,26300,3700,261,86
188,攻击力,,1,87,26600,3700,264,87
189,攻击力,,1,88,26900,3700,267,88
190,攻击力,,1,89,27200,3700,270,89
191,攻击力,,1,90,27500,3700,273,90
192,攻击力,,1,91,27800,3700,276,91
193,攻击力,,1,92,28100,3700,279,92
194,攻击力,,1,93,28400,3700,282,93
195,攻击力,,1,94,28700,3700,285,94
196,攻击力,,1,95,29000,3700,288,95
197,攻击力,,1,96,29300,3700,291,96
198,攻击力,,1,97,29600,3700,294,97
199,攻击力,,1,98,29900,3700,297,98
200,攻击力,,1,99,30200,3700,300,99
201,格斗防御,,2,0,500,30,3,0
202,格斗防御,,2,1,800,60,6,1
203,格斗防御,,2,2,1100,90,9,2
204,格斗防御,,2,3,1400,120,12,3
205,格斗防御,,2,4,1700,150,15,4
206,格斗防御,,2,5,2000,180,18,5
207,格斗防御,,2,6,2300,210,21,6
208,格斗防御,,2,7,2600,240,24,7
209,格斗防御,,2,8,2900,270,27,8
210,格斗防御,,2,9,3200,300,30,9
211,格斗防御,,2,10,3500,330,33,10
212,格斗防御,,2,11,3800,360,36,11
213,格斗防御,,2,12,4100,390,39,12
214,格斗防御,,2,13,4400,420,42,13
215,格斗防御,,2,14,4700,450,45,14
216,格斗防御,,2,15,5000,480,48,15
217,格斗防御,,2,16,5300,510,51,16
218,格斗防御,,2,17,5600,540,54,17
219,格斗防御,,2,18,5900,570,57,18
220,格斗防御,,2,19,6200,600,60,19
221,格斗防御,,2,20,6500,660,63,20
222,格斗防御,,2,21,6800,720,66,21
223,格斗防御,,2,22,7100,780,69,22
224,格斗防御,,2,23,7400,840,72,23
225,格斗防御,,2,24,7700,900,75,24
226,格斗防御,,2,25,8000,960,78,25
227,格斗防御,,2,26,8300,1020,81,26
228,格斗防御,,2,27,8600,1080,84,27
229,格斗防御,,2,28,8900,1140,87,28
230,格斗防御,,2,29,9200,1200,90,29
231,格斗防御,,2,30,9500,1290,93,30
232,格斗防御,,2,31,9800,1380,96,31
233,格斗防御,,2,32,10100,1470,99,32
234,格斗防御,,2,33,10400,1560,102,33
235,格斗防御,,2,34,10700,1650,105,34
236,格斗防御,,2,35,11000,1740,108,35
237,格斗防御,,2,36,11300,1830,111,36
238,格斗防御,,2,37,11600,1950,114,37
239,格斗防御,,2,38,11900,2070,117,38
240,格斗防御,,2,39,12200,2190,120,39
241,格斗防御,,2,40,12500,2310,123,40
242,格斗防御,,2,41,12800,2430,126,41
243,格斗防御,,2,42,13100,2580,129,42
244,格斗防御,,2,43,13400,2730,132,43
245,格斗防御,,2,44,13700,2880,135,44
246,格斗防御,,2,45,14000,3030,138,45
247,格斗防御,,2,46,14300,3210,141,46
248,格斗防御,,2,47,14600,3390,144,47
249,格斗防御,,2,48,14900,3570,147,48
250,格斗防御,,2,49,15200,3700,150,49
251,格斗防御,,2,50,15500,3700,153,50
252,格斗防御,,2,51,15800,3700,156,51
253,格斗防御,,2,52,16100,3700,159,52
254,格斗防御,,2,53,16400,3700,162,53
255,格斗防御,,2,54,16700,3700,165,54
256,格斗防御,,2,55,17000,3700,168,55
257,格斗防御,,2,56,17300,3700,171,56
258,格斗防御,,2,57,17600,3700,174,57
259,格斗防御,,2,58,17900,3700,177,58
260,格斗防御,,2,59,18200,3700,180,59
261,格斗防御,,2,60,18500,3700,183,60
262,格斗防御,,2,61,18800,3700,186,61
263,格斗防御,,2,62,19100,3700,189,62
264,格斗防御,,2,63,19400,3700,192,63
265,格斗防御,,2,64,19700,3700,195,64
266,格斗防御,,2,65,20000,3700,198,65
267,格斗防御,,2,66,20300,3700,201,66
268,格斗防御,,2,67,20600,3700,204,67
269,格斗防御,,2,68,20900,3700,207,68
270,格斗防御,,2,69,21200,3700,210,69
271,格斗防御,,2,70,21500,3700,213,70
272,格斗防御,,2,71,21800,3700,216,71
273,格斗防御,,2,72,22100,3700,219,72
274,格斗防御,,2,73,22400,3700,222,73
275,格斗防御,,2,74,22700,3700,225,74
276,格斗防御,,2,75,23000,3700,228,75
277,格斗防御,,2,76,23300,3700,231,76
278,格斗防御,,2,77,23600,3700,234,77
279,格斗防御,,2,78,23900,3700,237,78
280,格斗防御,,2,79,24200,3700,240,79
281,格斗防御,,2,80,24500,3700,243,80
282,格斗防御,,2,81,24800,3700,246,81
283,格斗防御,,2,82,25100,3700,249,82
284,格斗防御,,2,83,25400,3700,252,83
285,格斗防御,,2,84,25700,3700,255,84
286,格斗防御,,2,85,26000,3700,258,85
287,格斗防御,,2,86,26300,3700,261,86
288,格斗防御,,2,87,26600,3700,264,87
289,格斗防御,,2,88,26900,3700,267,88
290,格斗防御,,2,89,27200,3700,270,89
291,格斗防御,,2,90,27500,3700,273,90
292,格斗防御,,2,91,27800,3700,276,91
293,格斗防御,,2,92,28100,3700,279,92
294,格斗防御,,2,93,28400,3700,282,93
295,格斗防御,,2,94,28700,3700,285,94
296,格斗防御,,2,95,29000,3700,288,95
297,格斗防御,,2,96,29300,3700,291,96
298,格斗防御,,2,97,29600,3700,294,97
299,格斗防御,,2,98,29900,3700,297,98
300,格斗防御,,2,99,30200,3700,300,99
301,气功防御,,3,0,500,30,3,0
302,气功防御,,3,1,800,60,6,1
303,气功防御,,3,2,1100,90,9,2
304,气功防御,,3,3,1400,120,12,3
305,气功防御,,3,4,1700,150,15,4
306,气功防御,,3,5,2000,180,18,5
307,气功防御,,3,6,2300,210,21,6
308,气功防御,,3,7,2600,240,24,7
309,气功防御,,3,8,2900,270,27,8
310,气功防御,,3,9,3200,300,30,9
311,气功防御,,3,10,3500,330,33,10
312,气功防御,,3,11,3800,360,36,11
313,气功防御,,3,12,4100,390,39,12
314,气功防御,,3,13,4400,420,42,13
315,气功防御,,3,14,4700,450,45,14
316,气功防御,,3,15,5000,480,48,15
317,气功防御,,3,16,5300,510,51,16
318,气功防御,,3,17,5600,540,54,17
319,气功防御,,3,18,5900,570,57,18
320,气功防御,,3,19,6200,600,60,19
321,气功防御,,3,20,6500,660,63,20
322,气功防御,,3,21,6800,720,66,21
323,气功防御,,3,22,7100,780,69,22
324,气功防御,,3,23,7400,840,72,23
325,气功防御,,3,24,7700,900,75,24
326,气功防御,,3,25,8000,960,78,25
327,气功防御,,3,26,8300,1020,81,26
328,气功防御,,3,27,8600,1080,84,27
329,气功防御,,3,28,8900,1140,87,28
330,气功防御,,3,29,9200,1200,90,29
331,气功防御,,3,30,9500,1290,93,30
332,气功防御,,3,31,9800,1380,96,31
333,气功防御,,3,32,10100,1470,99,32
334,气功防御,,3,33,10400,1560,102,33
335,气功防御,,3,34,10700,1650,105,34
336,气功防御,,3,35,11000,1740,108,35
337,气功防御,,3,36,11300,1830,111,36
338,气功防御,,3,37,11600,1950,114,37
339,气功防御,,3,38,11900,2070,117,38
340,气功防御,,3,39,12200,2190,120,39
341,气功防御,,3,40,12500,2310,123,40
342,气功防御,,3,41,12800,2430,126,41
343,气功防御,,3,42,13100,2580,129,42
344,气功防御,,3,43,13400,2730,132,43
345,气功防御,,3,44,13700,2880,135,44
346,气功防御,,3,45,14000,3030,138,45
347,气功防御,,3,46,14300,3210,141,46
348,气功防御,,3,47,14600,3390,144,47
349,气功防御,,3,48,14900,3570,147,48
350,气功防御,,3,49,15200,3700,150,49
351,气功防御,,3,50,15500,3700,153,50
352,气功防御,,3,51,15800,3700,156,51
353,气功防御,,3,52,16100,3700,159,52
354,气功防御,,3,53,16400,3700,162,53
355,气功防御,,3,54,16700,3700,165,54
356,气功防御,,3,55,17000,3700,168,55
357,气功防御,,3,56,17300,3700,171,56
358,气功防御,,3,57,17600,3700,174,57
359,气功防御,,3,58,17900,3700,177,58
360,气功防御,,3,59,18200,3700,180,59
361,气功防御,,3,60,18500,3700,183,60
362,气功防御,,3,61,18800,3700,186,61
363,气功防御,,3,62,19100,3700,189,62
364,气功防御,,3,63,19400,3700,192,63
365,气功防御,,3,64,19700,3700,195,64
366,气功防御,,3,65,20000,3700,198,65
367,气功防御,,3,66,20300,3700,201,66
368,气功防御,,3,67,20600,3700,204,67
369,气功防御,,3,68,20900,3700,207,68
370,气功防御,,3,69,21200,3700,210,69
371,气功防御,,3,70,21500,3700,213,70
372,气功防御,,3,71,21800,3700,216,71
373,气功防御,,3,72,22100,3700,219,72
374,气功防御,,3,73,22400,3700,222,73
375,气功防御,,3,74,22700,3700,225,74
376,气功防御,,3,75,23000,3700,228,75
377,气功防御,,3,76,23300,3700,231,76
378,气功防御,,3,77,23600,3700,234,77
379,气功防御,,3,78,23900,3700,237,78
380,气功防御,,3,79,24200,3700,240,79
381,气功防御,,3,80,24500,3700,243,80
382,气功防御,,3,81,24800,3700,246,81
383,气功防御,,3,82,25100,3700,249,82
384,气功防御,,3,83,25400,3700,252,83
385,气功防御,,3,84,25700,3700,255,84
386,气功防御,,3,85,26000,3700,258,85
387,气功防御,,3,86,26300,3700,261,86
388,气功防御,,3,87,26600,3700,264,87
389,气功防御,,3,88,26900,3700,267,88
390,气功防御,,3,89,27200,3700,270,89
391,气功防御,,3,90,27500,3700,273,90
392,气功防御,,3,91,27800,3700,276,91
393,气功防御,,3,92,28100,3700,279,92
394,气功防御,,3,93,28400,3700,282,93
395,气功防御,,3,94,28700,3700,285,94
396,气功防御,,3,95,29000,3700,288,95
397,气功防御,,3,96,29300,3700,291,96
398,气功防御,,3,97,29600,3700,294,97
399,气功防御,,3,98,29900,3700,297,98
400,气功防御,,3,99,30200,3700,300,99
401,精神防御,,4,0,500,30,3,0
402,精神防御,,4,1,800,60,6,1
403,精神防御,,4,2,1100,90,9,2
404,精神防御,,4,3,1400,120,12,3
405,精神防御,,4,4,1700,150,15,4
406,精神防御,,4,5,2000,180,18,5
407,精神防御,,4,6,2300,210,21,6
408,精神防御,,4,7,2600,240,24,7
409,精神防御,,4,8,2900,270,27,8
410,精神防御,,4,9,3200,300,30,9
411,精神防御,,4,10,3500,330,33,10
412,精神防御,,4,11,3800,360,36,11
413,精神防御,,4,12,4100,390,39,12
414,精神防御,,4,13,4400,420,42,13
415,精神防御,,4,14,4700,450,45,14
416,精神防御,,4,15,5000,480,48,15
417,精神防御,,4,16,5300,510,51,16
418,精神防御,,4,17,5600,540,54,17
419,精神防御,,4,18,5900,570,57,18
420,精神防御,,4,19,6200,600,60,19
421,精神防御,,4,20,6500,660,63,20
422,精神防御,,4,21,6800,720,66,21
423,精神防御,,4,22,7100,780,69,22
424,精神防御,,4,23,7400,840,72,23
425,精神防御,,4,24,7700,900,75,24
426,精神防御,,4,25,8000,960,78,25
427,精神防御,,4,26,8300,1020,81,26
428,精神防御,,4,27,8600,1080,84,27
429,精神防御,,4,28,8900,1140,87,28
430,精神防御,,4,29,9200,1200,90,29
431,精神防御,,4,30,9500,1290,93,30
432,精神防御,,4,31,9800,1380,96,31
433,精神防御,,4,32,10100,1470,99,32
434,精神防御,,4,33,10400,1560,102,33
435,精神防御,,4,34,10700,1650,105,34
436,精神防御,,4,35,11000,1740,108,35
437,精神防御,,4,36,11300,1830,111,36
438,精神防御,,4,37,11600,1950,114,37
439,精神防御,,4,38,11900,2070,117,38
440,精神防御,,4,39,12200,2190,120,39
441,精神防御,,4,40,12500,2310,123,40
442,精神防御,,4,41,12800,2430,126,41
443,精神防御,,4,42,13100,2580,129,42
444,精神防御,,4,43,13400,2730,132,43
445,精神防御,,4,44,13700,2880,135,44
446,精神防御,,4,45,14000,3030,138,45
447,精神防御,,4,46,14300,3210,141,46
448,精神防御,,4,47,14600,3390,144,47
449,精神防御,,4,48,14900,3570,147,48
450,精神防御,,4,49,15200,3700,150,49
451,精神防御,,4,50,15500,3700,153,50
452,精神防御,,4,51,15800,3700,156,51
453,精神防御,,4,52,16100,3700,159,52
454,精神防御,,4,53,16400,3700,162,53
455,精神防御,,4,54,16700,3700,165,54
456,精神防御,,4,55,17000,3700,168,55
457,精神防御,,4,56,17300,3700,171,56
458,精神防御,,4,57,17600,3700,174,57
459,精神防御,,4,58,17900,3700,177,58
460,精神防御,,4,59,18200,3700,180,59
461,精神防御,,4,60,18500,3700,183,60
462,精神防御,,4,61,18800,3700,186,61
463,精神防御,,4,62,19100,3700,189,62
464,精神防御,,4,63,19400,3700,192,63
465,精神防御,,4,64,19700,3700,195,64
466,精神防御,,4,65,20000,3700,198,65
467,精神防御,,4,66,20300,3700,201,66
468,精神防御,,4,67,20600,3700,204,67
469,精神防御,,4,68,20900,3700,207,68
470,精神防御,,4,69,21200,3700,210,69
471,精神防御,,4,70,21500,3700,213,70
472,精神防御,,4,71,21800,3700,216,71
473,精神防御,,4,72,22100,3700,219,72
474,精神防御,,4,73,22400,3700,222,73
475,精神防御,,4,74,22700,3700,225,74
476,精神防御,,4,75,23000,3700,228,75
477,精神防御,,4,76,23300,3700,231,76
478,精神防御,,4,77,23600,3700,234,77
479,精神防御,,4,78,23900,3700,237,78
480,精神防御,,4,79,24200,3700,240,79
481,精神防御,,4,80,24500,3700,243,80
482,精神防御,,4,81,24800,3700,246,81
483,精神防御,,4,82,25100,3700,249,82
484,精神防御,,4,83,25400,3700,252,83
485,精神防御,,4,84,25700,3700,255,84
486,精神防御,,4,85,26000,3700,258,85
487,精神防御,,4,86,26300,3700,261,86
488,精神防御,,4,87,26600,3700,264,87
489,精神防御,,4,88,26900,3700,267,88
490,精神防御,,4,89,27200,3700,270,89
491,精神防御,,4,90,27500,3700,273,90
492,精神防御,,4,91,27800,3700,276,91
493,精神防御,,4,92,28100,3700,279,92
494,精神防御,,4,93,28400,3700,282,93
495,精神防御,,4,94,28700,3700,285,94
496,精神防御,,4,95,29000,3700,288,95
497,精神防御,,4,96,29300,3700,291,96
498,精神防御,,4,97,29600,3700,294,97
499,精神防御,,4,98,29900,3700,297,98
500,精神防御,,4,99,30200,3700,300,99
501,力量,,5,0,500,30,2,0
502,力量,,5,1,800,60,4,1
503,力量,,5,2,1100,90,6,2
504,力量,,5,3,1400,120,8,3
505,力量,,5,4,1700,150,10,4
506,力量,,5,5,2000,180,12,5
507,力量,,5,6,2300,210,14,6
508,力量,,5,7,2600,240,16,7
509,力量,,5,8,2900,270,18,8
510,力量,,5,9,3200,300,20,9
511,力量,,5,10,3500,330,22,10
512,力量,,5,11,3800,360,24,11
513,力量,,5,12,4100,390,26,12
514,力量,,5,13,4400,420,28,13
515,力量,,5,14,4700,450,30,14
516,力量,,5,15,5000,480,32,15
517,力量,,5,16,5300,510,34,16
518,力量,,5,17,5600,540,36,17
519,力量,,5,18,5900,570,38,18
520,力量,,5,19,6200,600,40,19
521,力量,,5,20,6500,660,42,20
522,力量,,5,21,6800,720,44,21
523,力量,,5,22,7100,780,46,22
524,力量,,5,23,7400,840,48,23
525,力量,,5,24,7700,900,50,24
526,力量,,5,25,8000,960,52,25
527,力量,,5,26,8300,1020,54,26
528,力量,,5,27,8600,1080,56,27
529,力量,,5,28,8900,1140,58,28
530,力量,,5,29,9200,1200,60,29
531,力量,,5,30,9500,1290,62,30
532,力量,,5,31,9800,1380,64,31
533,力量,,5,32,10100,1470,66,32
534,力量,,5,33,10400,1560,68,33
535,力量,,5,34,10700,1650,70,34
536,力量,,5,35,11000,1740,72,35
537,力量,,5,36,11300,1830,74,36
538,力量,,5,37,11600,1950,76,37
539,力量,,5,38,11900,2070,78,38
540,力量,,5,39,12200,2190,80,39
541,力量,,5,40,12500,2310,82,40
542,力量,,5,41,12800,2430,84,41
543,力量,,5,42,13100,2580,86,42
544,力量,,5,43,13400,2730,88,43
545,力量,,5,44,13700,2880,90,44
546,力量,,5,45,14000,3030,92,45
547,力量,,5,46,14300,3210,94,46
548,力量,,5,47,14600,3390,96,47
549,力量,,5,48,14900,3570,98,48
550,力量,,5,49,15200,3700,100,49
551,力量,,5,50,15500,3700,102,50
552,力量,,5,51,15800,3700,104,51
553,力量,,5,52,16100,3700,106,52
554,力量,,5,53,16400,3700,108,53
555,力量,,5,54,16700,3700,110,54
556,力量,,5,55,17000,3700,112,55
557,力量,,5,56,17300,3700,114,56
558,力量,,5,57,17600,3700,116,57
559,力量,,5,58,17900,3700,118,58
560,力量,,5,59,18200,3700,120,59
561,力量,,5,60,18500,3700,122,60
562,力量,,5,61,18800,3700,124,61
563,力量,,5,62,19100,3700,126,62
564,力量,,5,63,19400,3700,128,63
565,力量,,5,64,19700,3700,130,64
566,力量,,5,65,20000,3700,132,65
567,力量,,5,66,20300,3700,134,66
568,力量,,5,67,20600,3700,136,67
569,力量,,5,68,20900,3700,138,68
570,力量,,5,69,21200,3700,140,69
571,力量,,5,70,21500,3700,142,70
572,力量,,5,71,21800,3700,144,71
573,力量,,5,72,22100,3700,146,72
574,力量,,5,73,22400,3700,148,73
575,力量,,5,74,22700,3700,150,74
576,力量,,5,75,23000,3700,152,75
577,力量,,5,76,23300,3700,154,76
578,力量,,5,77,23600,3700,156,77
579,力量,,5,78,23900,3700,158,78
580,力量,,5,79,24200,3700,160,79
581,力量,,5,80,24500,3700,162,80
582,力量,,5,81,24800,3700,164,81
583,力量,,5,82,25100,3700,166,82
584,力量,,5,83,25400,3700,168,83
585,力量,,5,84,25700,3700,170,84
586,力量,,5,85,26000,3700,172,85
587,力量,,5,86,26300,3700,174,86
588,力量,,5,87,26600,3700,176,87
589,力量,,5,88,26900,3700,178,88
590,力量,,5,89,27200,3700,180,89
591,力量,,5,90,27500,3700,182,90
592,力量,,5,91,27800,3700,184,91
593,力量,,5,92,28100,3700,186,92
594,力量,,5,93,28400,3700,188,93
595,力量,,5,94,28700,3700,190,94
596,力量,,5,95,29000,3700,192,95
597,力量,,5,96,29300,3700,194,96
598,力量,,5,97,29600,3700,196,97
599,力量,,5,98,29900,3700,198,98
600,力量,,5,99,30200,3700,200,99
601,筋骨,,6,0,500,30,2,0
602,筋骨,,6,1,800,60,4,1
603,筋骨,,6,2,1100,90,6,2
604,筋骨,,6,3,1400,120,8,3
605,筋骨,,6,4,1700,150,10,4
606,筋骨,,6,5,2000,180,12,5
607,筋骨,,6,6,2300,210,14,6
608,筋骨,,6,7,2600,240,16,7
609,筋骨,,6,8,2900,270,18,8
610,筋骨,,6,9,3200,300,20,9
611,筋骨,,6,10,3500,330,22,10
612,筋骨,,6,11,3800,360,24,11
613,筋骨,,6,12,4100,390,26,12
614,筋骨,,6,13,4400,420,28,13
615,筋骨,,6,14,4700,450,30,14
616,筋骨,,6,15,5000,480,32,15
617,筋骨,,6,16,5300,510,34,16
618,筋骨,,6,17,5600,540,36,17
619,筋骨,,6,18,5900,570,38,18
620,筋骨,,6,19,6200,600,40,19
621,筋骨,,6,20,6500,660,42,20
622,筋骨,,6,21,6800,720,44,21
623,筋骨,,6,22,7100,780,46,22
624,筋骨,,6,23,7400,840,48,23
625,筋骨,,6,24,7700,900,50,24
626,筋骨,,6,25,8000,960,52,25
627,筋骨,,6,26,8300,1020,54,26
628,筋骨,,6,27,8600,1080,56,27
629,筋骨,,6,28,8900,1140,58,28
630,筋骨,,6,29,9200,1200,60,29
631,筋骨,,6,30,9500,1290,62,30
632,筋骨,,6,31,9800,1380,64,31
633,筋骨,,6,32,10100,1470,66,32
634,筋骨,,6,33,10400,1560,68,33
635,筋骨,,6,34,10700,1650,70,34
636,筋骨,,6,35,11000,1740,72,35
637,筋骨,,6,36,11300,1830,74,36
638,筋骨,,6,37,11600,1950,76,37
639,筋骨,,6,38,11900,2070,78,38
640,筋骨,,6,39,12200,2190,80,39
641,筋骨,,6,40,12500,2310,82,40
642,筋骨,,6,41,12800,2430,84,41
643,筋骨,,6,42,13100,2580,86,42
644,筋骨,,6,43,13400,2730,88,43
645,筋骨,,6,44,13700,2880,90,44
646,筋骨,,6,45,14000,3030,92,45
647,筋骨,,6,46,14300,3210,94,46
648,筋骨,,6,47,14600,3390,96,47
649,筋骨,,6,48,14900,3570,98,48
650,筋骨,,6,49,15200,3700,100,49
651,筋骨,,6,50,15500,3700,102,50
652,筋骨,,6,51,15800,3700,104,51
653,筋骨,,6,52,16100,3700,106,52
654,筋骨,,6,53,16400,3700,108,53
