id,needLv,needStar,costMoney,costGold,attack,fightDef,qigongDef,psycheDef,
67,67,4,214464,18,1315,789,789,789,6575
68,68,4,224056,18,1358,815,815,815,6793
69,69,4,233956,19,1403,842,842,842,7018
70,70,4,244252,20,1450,870,870,870,7252
71,71,4,253624,21,1493,895,895,895,7465
72,72,4,263260,22,1536,922,922,922,7684
73,73,4,273204,22,1582,949,949,949,7910
74,74,4,283456,23,1628,977,977,977,8143
75,75,4,293972,24,1676,1005,1005,1005,8382
76,76,4,304840,25,1725,1035,1035,1035,8629
77,77,4,315972,26,1776,1065,1065,1065,8882
78,78,4,327456,27,1828,1097,1097,1097,9143
79,79,4,339292,28,1882,1129,1129,1129,9412
80,80,4,351480,29,1937,1162,1162,1162,9689
81,81,4,362744,30,1989,1193,1193,1193,9945
82,82,4,374272,30,2041,1224,1224,1224,10207
83,83,4,386152,31,2095,1257,1257,1257,10477
84,84,4,398296,32,2150,1290,1290,1290,10753
85,85,4,410792,33,2207,1324,1324,1324,11037
86,86,4,423640,34,2265,1359,1359,1359,11329
87,87,4,436796,35,2325,1395,1395,1395,11628
88,88,4,450304,37,2387,1432,1432,1432,11935
89,89,4,464164,38,2450,1470,1470,1470,12250
90,90,4,478376,39,2514,1508,1508,1508,12573
91,91,5,494684,40,2575,1545,1545,1545,12875
92,92,5,511370,41,2636,1582,1582,1582,13184
93,93,5,528434,43,2700,1620,1620,1620,13500
94,94,5,545984,44,2765,1659,1659,1659,13825
95,95,5,563858,46,2831,1698,1698,1698,14156
96,96,5,582218,47,2899,1739,1739,1739,14496
97,97,5,601010,49,2968,1781,1781,1781,14844
98,98,5,620234,50,3040,1824,1824,1824,15200
99,99,5,639944,52,3113,1867,1867,1867,15565
100,100,5,660140,53,3187,1912,1912,1912,15939
101,101,5,679148,55,3258,1954,1954,1954,16291
102,102,5,698588,56,3330,1998,1998,1998,16651
103,103,5,718460,58,3403,2042,2042,2042,17019
104,104,5,738764,60,3479,2087,2087,2087,17395
105,105,5,759554,61,3556,2133,2133,2133,17780
106,106,5,780722,63,3634,2180,2180,2180,18172
107,107,5,802430,65,3714,2228,2228,2228,18574
108,108,5,824624,66,3797,2278,2278,2278,18985
109,109,5,847250,68,3880,2328,2328,2328,19404
110,110,5,870416,70,3966,2379,2379,2379,19833
111,111,5,892286,72,4047,2428,2428,2428,20238
112,112,5,914534,74,4130,2478,2478,2478,20650
113,113,5,937322,75,4214,2528,2528,2528,21072
114,114,5,960542,77,4300,2580,2580,2580,21502
115,115,5,984194,79,4388,2632,2632,2632,21940
116,116,5,1008386,81,4477,2686,2686,2686,22388
117,117,5,1033064,83,4569,2741,2741,2741,22845
118,118,5,1058228,85,4662,2797,2797,2797,23311
119,119,5,1083878,87,4757,2854,2854,2854,23786
120,120,5,1110068,89,4854,2912,2912,2912,24271
