引导id,条件                            1:等级                          2:接受任务                      3:完成任务                  4:功能开放                      例：                         1#等级                           2#任务ID                          3#任务ID                  4#功能ID,目标,箭头坐标,内容描述,,
10,4#4,bottomButton|4#4|clicktalent#4|clicktalent#4|clicktalent#4|clicktalent#4|clicktalent#4|clicktalent#4|clicktalent#4|clicktalent#4|clicktalent#4|clicktalent#4|clicktalent#4|clicktalent#4|close,305|40#67|207#150|204#146|127#215|129#222|203#287|200#292|277#361|279#361|200#430|202#522|200#604|200#667|13,23#24#24#24#24#24#24#24#24#24#24#24#24#7,1019|582#234|288#322|289#319|210#401|214#399|284#0|0#0|0#0|0#0|0#0|0#0|0#0|0#0|0,58|70#49|54#49|54#49|54#49|54#49|54#0|0#0|0#0|0#0|0#0|0#0|0#0|0#0|0
11,4#505,bottomButton|1#1|openPractice#46|attribute1#46|attribute2#46|attribute3#46|attribute4#46|close,118|40#451|437#224|148#393|152#194|247#421|253#642|19,25#26#28#29#30#31#7,0|0#0|0#0|0#0|0#0|0#0|0#0|0,1260|663#1260|663#1260|663#1260|663#1260|663#1260|663#1260|663
12,4#504,bottomButton|1#1|openAdvance#47|btnAdvance#47|gongji#47|gedou#47|qigong#47|jingshen#47|close,57|40#661|441#429|365#50|103#50|165#50|225#50|280#649|19,3#57#63#58#59#60#61#7,0|0#0|0#0|0#0|0#0|0#0|0#0|0#0|0,1260|663#1260|663#1260|663#1260|663#1260|663#1260|663#1260|663#1260|663
13,4#16,topButton|15#15|BattlePlayer,505|40#680|286,45#46,0|0#0|0,1260|663#1260|663
14,4#20,topButton|35#35|OpenFind#35F|Refresh#35F|Refresh#35F|Refresh#35F|Refresh#35F|Refresh#35F|Start,436|40#870|48#558|145#560|145#558|145#560|145#558|145#250|400,36#36#37#37#37#37#94#38,0|0#0|0#0|0#0|0#0|0#0|0#0|0#0|0,1260|663#1260|663#1260|663#1260|663#1260|663#1260|663#1260|663#1260|663
15,4#18,topButton|17#34|ClickBtn#34|ClickBtn#34|ClickBtn#34|ClickBtn#34|ClickBtn#34|ClickBtn#34|ClickBtn#34|ClickBtn#34|ClickBtn#34|ClickBtn#34|ClickBtn,439|40#1082|360#1082|360#1082|360#1082|360#1082|360#1082|360#1082|360#1082|360#1082|360#1082|360#1082|360,42#47#48#49#50#51#52#53#54#55#56#44,0|0#0|0#0|0#0|0#0|0#0|0#0|0#0|0#0|0#0|0#0|0#0|0,1260|663#1260|663#1260|663#1260|663#1260|663#1260|663#1260|663#1260|663#1260|663#1260|663#1260|663#1260|663
16,4#9,bottomButton|9#9|GetExp#9|Speed#9|close,471|37#366|162#143|248#556|19,32#33#34#7,0|0#0|0#0|0#0|0,1260|663#1260|663#1260|663#1260|663
17,4#21,topButton|444444#444444|Start,221|50#670|409,40#41,0|0#0|0,1260|663#1260|663
18,4#19,70|OpenHome#27|1#27|28#28|openCreate#28F|getMaterial#28F|close#28|LvUp#28|LvUp#28|LvUp#28|LvUp#28|LvUp#28|LvUp#28|LvUp#28|LvUp#28|LvUp#27|close,49|74#645|153#645|153#265|193#35|229#399|20#263|159#263|159#263|159#263|159#263|159#263|159#263|159#263|159#263|159#1179|54,66#67#68#69#70#7#71#71#71#71#71#71#71#71#71#7,109|74#645|153#645|153#265|193#35|229#399|20#347|19#263|159#263|159#263|159#263|159#263|159#263|159#263|159#263|159#263|159,109|74#645|153#645|153#265|193#35|229#399|20#347|19#263|159#263|159#263|159#263|159#263|159#263|159#263|159#263|159#263|159
19,2#7005,70|OpenHome#27|2#27|30#30|OpenTrain#30F|clickHead#30F|add#30T|confirm#30F|Fly#27|close,49|74#720|315#720|315#260|190#114|106#191|113#96|225#470|384#1179|54,66#72#73#74#75#76#115#77#7,109|74#720|315#720|315#260|190#85|106#189|110#477|377#19|61#0|0,109|74#720|315#720|315#260|190#85|106#189|110#477|377#19|61#0|0
20,2#7006,70|OpenHome#27|3#27|32#32|come#32F|LvUp#27|close,49|74#485|315#485|315#259|200#107|126#1176|54,66#78#79#80#123#7,109|74#485|315#485|315#259|192#107|123#0|0,109|74#485|315#485|315#259|192#107|123#0|0
21,2#7008,70|OpenHome#27|5#27|29#29|Advance#29F|clickAdvance#29F|clickAdvance#29F|clickAdvance#29F|clickAdvance#29F|clickAdvance#27|close,49|74#893|489#893|489#260|197#406|83#406|83#406|83#406|83#406|83#1176|54,66#86#87#88#89#90#91#92#93#7,109|74#893|489#893|489#260|180#406|83#406|83#406|83#406|83#406|83#0|0,109|74#893|489#893|489#260|180#406|83#406|83#406|83#406|83#406|83#0|0
22,2#7009,70|OpenHome#27|4#27|31#31|Produce#31F|clickProduce#31T|AlertProduce#27|close,49|74#502|486#502|486#261|197#63|200#32|228#1179|54,66#95#96#97#97#97#7,0|0#0|0#0|0#0|0#0|0#0|0#0|0,0|0#0|0#0|0#0|0#0|0#0|0#0|0
23,4#502,bottomButton|1#1|changeSkill#1F|ClickSkill#1F|SkillDrag,135|42#191|452#111|210#219|119,3#98#99#100,0|0#0|0#0|0#0|0,0|0#0|0#0|0#0|0
24,4#508,bottomButton|1#1|openChange#47|checkChange#47|ApplyChange,118|23#518|448#427|355#359|402,3#101#102#103,0|0#0|0#0|0#0|0,0|0#0|0#0|0#0|0
25,4#506,bottomButton|1#1|OpenGrasp#59|ClickGrasp#59F|ClickSubmit#59|openStudy#63|sendBegin,60|42#597|442#361|380#98|150#79|317#139|367,3#104#105#106#116#117,0|0#0|0#0|0#0|0#0|0#0|0,0|0#0|0#0|0#0|0#0|0#0|0
26,4#507,bottomButton|90#bottomButton|44#44|start,530|36#530|-36#225|477,14#107#108,0|0#0|0#0|0,0|0#0|0#0|0
27,4#14,topButton|13#13|clickTask#13|adoptTask,508|40#215|331#313|456,110#111#118,0|0#0|0#0|0,0|0#0|0#0|0
28,4#22,topButton|37#37|StartGame#37|ClickBox,369|34#516|324#302|451,112#113#114,0|0#0|0#0|0,0|0#0|0#0|0
29,special#6,bottomButton|6#6|itemclick#6|strengthen#6|close,460|43#160|111#593|435#761|12,11#12#13#7,1139|579#328|170#790|510#935|89,63|71#178|73#97|28#38|38
