题号（ID）,正确答案（1，2，3，4）,A选项,B选项,C选项,D选项,题目描述
43,2,一次,两次,三次,四次,悟空在龙珠第一部里变过几次巨猿？
44,3,包子山,积雷山,火焰山,终南山,牛魔王住的地方叫做？
45,1,木乃伊,恶魔人,吸血鬼,透明人,占卜婆婆的第三个勇士是？
46,2,孙悟空,桃白白,小林,透明人,黑绸缎军团的蓝将军死于谁手？
47,4,天津饭,乐平,小林,狼人,第22届天下第一武道会成龙八强的对手是？
48,1,3,2,1,4,那美克星的神龙可以许几个愿望？
49,3,5,7,3,1,人造人在悟空回来几年后出现？
50,4,特兰克斯,短笛,孙悟空,贝吉塔,人造人19号被谁打败？
51,1,贝吉塔,天津饭,特兰克斯,短笛,沙鲁和孙悟饭对战时候，被谁骚扰了？
52,3,1,2,3,4,悟天克斯第几次合体终于成功了？
53,4,孙悟空,贝吉塔,撒旦,短笛,在界王神界的战斗中，谁没有在当场？
54,2,卡卡罗特,撒旦,贝吉塔,孙悟饭,人类心目中的英雄是？
55,1,天津饭,贝吉塔,小林,孙悟饭,谁去过界王星修炼
56,1,皮拉夫,大鼓,铃鼓,铜钹,下列谁不属于魔族？
57,2,龟仙人,贝吉塔,孙悟饭,天津饭,下面的人中会不会使用龟波气功的是
58,4,瞬间移动,元气弹,元气斩,筋斗云飞跃,沙鲁不会那些技能？
59,2,悟空,人造人18号,人造人8号,贝吉塔,特兰克斯剑上的裂痕是谁造成造成的？
60,3,10,20,30,40,悟天克斯的合体时间多少分钟？
61,2,孙悟饭,拉蒂兹,孙悟天,布罗利,悟空的哥哥是谁？
62,4,龟波气功波,界王拳,元气斩,元气弹,布欧死在什么技能上？
63,3,孙悟空偷了他钱,孙悟空抢了他老婆,婴儿时哭闹吵到他,孙悟空爱喜欢压榨公民,布罗利为什么讨厌孙悟空？
64,4,看到太阳,看到美女,看到帅哥,看到月亮,赛亚人看到什么会变成猩猩？
65,3,鞋子,衣服,头盔,内裤,寻宝搜到的装备是什么？
66,3,1,2,3,4,每天寻宝有多少次？
67,1,20,30,40,50,寻宝一次要多少分钟？
68,2,1,2,3,4,寻宝时候，一个人最多被打劫多少次？
69,3,8,9,10,11,工匠村中熔炼出戒指需要多少次？
70,1,30,40,50,60,工匠村中一天最大可以熔炼多少次？
71,2,50,60,70,80,竞技场挑战冷却时间是多少秒？
72,3,1天,2天,3天,4天,竞技场领取奖励的时间是多久1次？
73,3,6,7,8,9,伙伴元气最多可以装备多少个？
74,2,爷爷送的,龟仙人送的,布尔玛送的,大街边买的,孙悟空的筋斗云是怎么来的？
75,1,健美节目,体育节目,娱乐节目,相亲节目 ,龟仙人最喜欢看什么节目
76,3,5,9,7,8,神龙许愿需要多少颗龙珠？
77,1,130,140,150,160,日常任务最高分是多少？
78,2,5,10,15,20,每天能完成多少日常任务？
79,2,10:30,16:00,18:30,20:30,宇宙BOSS每天多少点开启？
80,4,20,30,40,50,仙人到访一天会发送多少体力值？
81,3,1,2,3,4,每个精英副本一天能挑战多少次？
82,1,鞋子,衣服,袜子,原味裤衩,搜寻最后获得什么装备？
83,2,10,15,20,25,万能搜寻仪搜寻会消耗多少金币？
84,2,14,24,34,44,一天最多搜寻多少次
85,3,18:00,19:00,20:00,21:00,巨猿来袭在每天什么时候开放？
86,2,布罗布,布罗利,利罗布,罗利布,宇宙boss活动的boss叫什么名字？
87,2,钓鱼,劈柴,洗澡,打猎,《龙珠》漫画中悟空初次登场是在做什么？
88,1,车祸,布尔玛被抓走,悟空的龙珠被发现,悟空洗澡,《龙珠》漫画中悟空和布尔玛初次相遇是因为？
89,4,变得漂亮,长生不老,找到宝藏,找帅哥,布尔玛找龙珠的愿望是什么？
90,2,2次,3次,5次,6次,《龙珠》漫画提到的孙悟空从小到大变身过几次巨猿？
91,3,④③⑦②,⑦⑥②⑤,⑤③⑦①,③①④⑦,初次冒险中龙珠出现的顺序是？
92,1,猜拳,狂拳,龟派神功,醉拳,孙悟空初期常用绝招是？
93,1,二星球,三星球,四星球,五星球,《龙珠》故事中布尔玛提到的在自家仓库找到的龙珠是几星球？
94,4,三星球,七星球,一星球,五星球,初次冒险中，布尔玛在遇到悟空前独自找到的龙珠是？
95,4,扑灭火焰山大火,收复乌龙,救援海龟,消灭兔人参,孙悟空和布尔玛的第一次冒险中，哪一次悟空一行没有得到龙珠？
96,2,乌龙,龟仙人,乐平,牛魔王,初次冒险中，悟空和布尔玛相遇后得到的第一颗龙珠是谁给的？
97,3,布尔玛家仓库,龟仙人所有,牛魔王宫殿,兔人参所有,初次冒险中，七星球在谁手上？
98,1,收复乌龙,扑灭火焰山大火,打败乐平,救援海龟,初次冒险中，获得六星球是因为？
99,4,乌龙,孙悟空,龟仙人,乐平,最初见到琪琪的人是谁？
100,2,布尔玛,乌龙,皮拉夫,孙悟空,《龙珠》中第一个向神龙许愿的是谁？
101,2,天神,波波,加林仙人,界王,制造地球龙珠的是谁？
102,3,黑绸军,乐平,皮拉夫,短笛大魔王,在短笛大魔王杀死神龙前，以统治世界为唯一目的寻找龙珠的是？
103,2,布尔玛,琪琪,乐平,皮拉夫,《龙珠》故事中除了悟空爷爷孙悟饭和宇宙人，谁最先知道悟空尾巴的弱点？
104,4,游泳,耕田,做工,送牛奶,孙悟空在龟仙人门下修行时第一个常规特训项目是什么？
105,3,21届,22届,23届,24届,孙悟空在哪一届武道会第一次取得冠军？
106,1,则卷特波,则卷千兵卫,阿拉蕾,布尔玛,孙悟空在企鹅村龙珠雷达被蓝将军抢走，谁替他重新做了一个？
107,4,小林,布尔玛,龟仙人,老鼠,在海盗洞穴里悟空被蓝将军超能力控制时谁救了他？
108,3,瑞德元帅,孙悟空,桃白白,青副官,蓝将军被谁杀死？
109,2,10,12,14,16,孙悟空初次登场时实际年龄是几岁？
110,1,河豚,章鱼烧,寿司,拉面,孙悟空与小林在龟仙人门下修行的一节：寻找石头；当晚的晚餐是？
111,4,一拳碎石,百米冲刺低于五秒,平地跳起一百米,推动山一样的巨石,龟仙人随口说的修行结业标准是什么？
112,3,③①④②⑤ ,①③④②⑤,④③①②⑤,③①②⑤④,孙悟空与 ①乐平平、②小林 、③乌龙、 ④龟仙人、⑤兰琪五人的见面顺序是？
113,3,五次,四次,三次,二次,孙悟空的尾巴被拔掉过几次？
114,1,孙悟饭爷爷,龟仙人,普洱,天神,是谁第二次拔掉了孙悟空的尾巴？
115,2,两个,三个,四个,五个,在请求水晶婆婆占卜时悟空打败了几个对手？
116,3,②③①④,①④②③,②④③①,①②③④,水晶婆婆手下①地狱使者、②吸血鬼 、③木乃伊、 ④透明人出场顺序是？
117,4,乐平,普洱,乌巴,小林,被水晶婆婆第一个打手打败的是谁？
118,4,小林,乐平,孙悟空,波拉,被龙珠复活的第一个人是谁？
119,1,武泰斗,龟仙人,鹤仙人,天神,魔封波是谁创造的武功？
120,2,一颗,二颗,三颗,四颗,孙悟空捣毁黑绸军大本营时得到几颗龙珠？
121,3,孙悟空,弥次郎兵卫,龟仙人,桃白白,《龙珠》故事中第一个爬上加林塔的人是谁？
122,1,翼龙,盗贼熊,怪鱼,乌龙,悟空和布尔玛初次上路时遭遇的第一个对手是什么？
123,2,龙珠,筋斗云,芭蕉扇,不死鸟,龟仙人为了报答悟空救了老龟，龟仙人决定送什么给悟空？
124,2,五次,六次,七次,八次,悟空制服乌龙的故事中乌龙一共进行了几次变身？
125,4,五分钟,十分钟,半小时,无限时,乌龙变身只能维持五分钟，他的同学普洱能够变身多久？
126,3,小悟空,乌龙,布尔玛,龟仙人,乐平第一次出场打劫悟空一行时，他被谁吓走？
127,4,小悟空,乐平,乌龙,普洱,在消灭兔人参时是谁救了布尔玛？
128,3,1个,2个,3个,4个,孙悟空初次到龟仙人门下修行时给他找过几个女孩？
129,1,杂志,兰琪,内裤,钱,小林拜入龟仙人门下时的见面礼是什么？
130,4,掏耳朵,咳嗽,哈欠,喷嚏,兰琪变身的信号是？
131,2,兰琪,琪琪,布尔玛,小林,除了悟空以外，第一个靠自己坐上筋斗云的是谁？
132,3,小林,龟仙人,兰琪,乐平,下列能够坐上筋斗云的是？
133,4,残像拳,真的分身术,催眠术,五胞胎,玛兹尔塔四层忍者的分身术是？
134,1,基朗,乐平,那木,兰芳,悟空第一次参加武道会时，决赛第一场的对手是？
135,4,龙,人,猫,狗,武道会举办场地武道寺的馆长是什么动物？
136,3,孙悟空VS乐平,秦龙VS兰芳,小林VS巴克特里安,那木VS基朗,21届武道会决赛圈第一对上场的选手是？
137,2,魔力口香糖,天空十字拳,舞空术,排球拳,21届武道会那木的绝技是？
138,4,兔人参,鹤仙人,黑绸军,皮拉夫,将被封印的短笛大魔王解封的是谁？
139,1,机械桃白白,熄灭八卦炉的火,帮助那木找水,接受超圣水考验,以下不是《龙珠》TV动画原创情节的是？
140,2,龙珠,烤鱼,钱,武器,悟空偷了弥次郎兵卫什么东西而与他结识？
141,1,卡卡罗特,贝吉塔,巴达克,拉蒂兹,作者用英、法语的蔬菜为赛亚人命名，其中法语胡萝卜是谁的名字？
142,4,大鼓,钢琴,铃鼓,铜钹,第一个被打败的魔族战士是？
143,3,武泰斗,天神,龟仙人,天津饭,用魔封波封印短笛大魔王失败而死的是？
144,2,天津饭,饺子,龟仙人,乌龙,短笛大魔王召唤神龙时企图赶在他之前许愿的是？
145,3,天神殿,玛兹尔塔,加林塔,包子山,筋斗云能够达到的最高高度是？
146,1,弥次郎兵卫,天津饭,布尔诺,加林仙人,第一次打败短笛大魔王后重伤的孙悟空被谁救走？
147,4,如意棒,筋斗云,仙豆,猫铃,加林仙人给孙悟空见天神的信物是什么？
148,2,弗拉贝博士,格罗博士,缪博士,布利夫博士,在原《龙珠》故事中黑绸军的人造人是谁制造的？
149,3,包子山,加林塔,那美克星,天神殿,孙悟空没有在哪个地方修炼过？
150,2,龟派神功,万国惊天掌,气功炮,醉拳,21届武道会，秦龙用哪招绝技几乎打败悟空？
151,1,狂拳,龟派神功,残像拳,猜拳,21届武道会孙悟空用什么招数回应龟仙人的醉拳？
152,2,龟派神功,残像拳,醉拳,狂拳,21届武道会悟空偷学了龟仙人什么招数？
153,4,欧布,乌龙,龟仙人,天津饭,下列人物中有宇宙人血统的是？
154,1,残像拳,舞空术,魔封波,太阳拳,下列哪个是天津饭不会的招数？
155,4,小林,天津饭,乐平,弥次郎兵卫,当贝吉塔变身巨猿几乎杀死悟空时是谁打断了他的尾巴？
156,3,小林,短笛,孙悟饭,乐平,在被人造人毁掉世界的未来里，最后存活并训练特兰克斯的z战士是？
157,4,梅塔莫鲁星人,亚特多拉星人,赛亚人,那美克星人,拥有创造龙珠能力的是？
158,1,天津饭,基朗,那木,小林,短笛征服世界时没有被魔族杀害的是？
159,2,乐平,贝吉塔,孙悟空,天津饭,布尔玛最后的结婚对象是？
160,1,乐平,秦龙 ,小林,孙悟空,22届武道会天津饭将谁的腿踢断。
161,4,天津饭,龟仙人,小林,饺子,下列人物谁出场时有头发？
162,3,被秦龙打败,变身巨猿,被车撞了,被天津饭打败,22届武道会孙悟空为何没有夺冠？
163,2,天津饭,龟仙人,孙悟空,桃白白,因为天津饭拒绝杀害悟空而愤怒的鹤仙人被谁轰飞？
164,4,自己摔出去的,小林用龟派神功,小林拔了他的头发,不会算术,饺子为何被小林打败？
165,3,北都,南都,西都,国王之城,布尔玛居住的地方在哪？
166,1,龟仙人的眼镜,感觉气,太阳拳对太阳拳,残像拳,22届武道会孙悟空怎么破解太阳拳？
167,2,尾巴飞行,龟派神功反弹,筋斗云,舞空术,22届武道会悟空因为饺子超能力而被天津饭打出擂台时用什么方法避免落地？
168,4,龙珠和如意棒,花名册和如意棒,仙豆和花名册,龙珠和花名册,铃鼓杀害小林时抢走了哪两件东西？
169,2,征服世界,杀死武道家,毁灭神龙,防止自己被封印,短笛大魔王制造魔族战士的目的除了搜集龙珠还有？
170,3,打偏了,被反弹,电锅裂了,来不及出手,《龙珠》原作中天津饭使用魔封波失败是因为？
171,1,29号,32号,16号,43号,短笛大魔王宣布成为世界之王后第一个抽中毁灭的地球西都是几号地区？
172,1,被短笛撞死,被龟派神功打死,自己摔死,被魔贯光杀炮击中,短笛手下的翼龙形谋士钢琴是怎么死的？
173,4,天津饭,龟仙人,加林仙人,水晶婆婆,打败短笛时如意棒遗失，悟空从哪里知道它的下落？
174,3,被普洱剪掉,被孙悟饭扯断,被天神去掉,被龟仙人打掉,悟空的尾巴是因为什么不再出现？
175,2,乐平,饺子,小林,天津饭,没能参加23届武道会的是？
176,3,花钱改造的人造人,用龙珠复活,花钱改造半机械人,伤势康复,23届武道会上出现的桃白白是？
177,1,沈先生,乐平,饺子,小林,弥次郎兵卫在预赛被谁淘汰？
178,4,包子山,那美克星,龟仙屋,加林塔,天津饭、饺子、乐平、小林、悟空都修行过的地方是？
179,2,龟仙人,乌龙,布尔玛,乐平,琪琪在武道会决赛圈对阵悟空时，第一个认出她的是谁？
180,3,手臂伸长,眼睛光线,残像拳,魔贯光杀炮,23届武道会决赛第二场，短笛二世用什么招数将小林淘汰？
181,1,能力只有四分之一,移动不够灵活,目标太大,有时间限制,悟空发现天津饭的绝招四身拳的两个弱点，除了怕光第二个是什么？
182,2,警察,裁判,武道寺馆长,总统,23届武道会决赛中短笛被认出后，除了悟空的同伴没有逃走的是？
183,1,骗短笛使用巨身术,给短笛吃泻药,让短笛催吐,把短笛打到吐,悟空用什么方法救出被短笛吞下的天神？
184,4,快速自愈,仙豆,运气疗伤,肌体再生,短笛受伤后如何恢复？
185,3,跳起,双脚发射龟派神功,舞空术,身体挡住,武道会决赛中悟空如何躲过短笛的最后必杀？
186,1,被打出界外,读秒十下,被打得认输,被悟空打死,武道会决赛短笛如何输给悟空？
187,4,龟仙人,天津饭,小林,天神,23届武道会悟空胜利后阻止谁杀害短笛大魔王？
188,2,龙珠,龟仙流道服,仙豆,超神水,打败短笛后天神为表示感谢送了什么给悟空？
189,3,贝吉塔,那巴,拉蒂兹,布罗利,第一个说出“战五渣”经典台词的赛亚人是？
190,1,掳走孙悟饭,打伤孙悟空,杀死小林,毁灭地球,拉蒂兹用什么方法逼迫孙悟空恢复赛亚人邪恶本性？
191,4,孙悟空,天津饭,小林,短笛,第一个攻击赛亚人的z战士是？
192,1,短笛,天神,加林仙人,龟仙人,为了迎战赛亚人的进攻，孙悟饭接受谁的特训？
193,4,十万年,一百万年,一千万年,一亿年,通往界王住处的蛇道悟空是多少年内第二个通过的人？
194,2,心脏病发作,与拉蒂兹同归于尽,被短笛大魔王杀死,被贝吉塔杀死,孙悟空第一次死亡是因为什么？
195,2,包子,苹果,恐龙肉,野菜,孙悟饭特训初期快饿死时短笛给了他什么？
196,3,孙,龟,魔,R,短笛送给孙悟饭的武道服上印的什么字？
197,1,龟仙人、短笛,龟仙人、天神,加林仙人、天神,加林仙人、短笛,地球月亮被谁毁掉过？
198,2,一倍,十倍,百倍,三百倍,界王星球的重力是地球的多少倍？
199,4,送美女,打败界王的宠物,抢到界王的信物,讲笑话,通过什么测验才能向界王学习武功？
200,3,一个月,三个月,六个月,一年,悟空花了多长时间通过蛇道到达界王星？
201,4,天津饭，栽培人自爆,乐平，贝吉塔秒杀,天津饭，贝吉塔秒杀,乐平，栽培人自爆,贝吉塔入侵地球后第一个战死的是？怎么死的？
202,1,小林,短笛,孙悟空,天津饭,贝吉塔的栽培人战士被谁瞬间团灭？
203,2,贝吉塔留下的飞船,悟空小时候的飞船,地球人自己的飞船,天神的飞船,孙悟空飞去那美克星的飞船是？
204,1,三倍,五倍,十倍,一百倍,从那美克星回来后贝吉塔用孙悟空在飞船上几倍的重力特训？
205,4,看到16号时,看到17、18号时,看到19、20号时,看到沙鲁时,天神在什么时候决定和短笛融合？
206,3,孙悟空,贝吉塔,孙悟饭,特兰克斯,最终击败沙鲁的是？
