任务id,任务名,主线/支线,对话/打怪/掉落/寻物,等级限制,前置任务ID,后置任务ID,可完成次数,任务内容,任务目标,任务目标数量,任务简介,任务说明,说明脚本,接任务追踪,追踪脚本,未完成说明,追踪脚本,已完成追踪,追踪脚本,接任务NPC,还任务NPC,接任务脚本,还任务脚本,接任务对话,还任务对话,未完成对话,经验,阅历,索尼,物品,怪物组Id和掉落机率,guideDoing,guideDoingScript,guideComplete,guideCompleteScript,完成任务等级限制,章节,特殊任务类型枚举
7,最后的冲击,1,2,1,6,8,1,击败消灭人造人精英队长,9,1,击败消灭人造人精英队长,击杀|人造人精英队长^,openFB|1@1@9@9@6,去找|孙悟饭^领取任务,clickNPC|NPC03@map1,[主]最后的冲击<br/>击败|人造人追击队长^({0}/{1}),openFB|1@1@9@9@6,[主]最后的冲击<br/>去找|特兰克斯^完成任务,clickNPC|NPC01@map1,NPC03@map1,NPC01@map1,"openFB|1@1@9@9@6,addSection(7)",clickNPC|NPC01@map1,那就是你们的时光机？不好，人造人正在破坏它。|好的。^接任务|[接受]最后的冲击,时光机没有问题，好险。|未来还需要我们保护，我们可不能随便的留在这里。^还任务|[完成]最后的冲击,你不想回去了么？|我去去就来。^进行中|[进行中]最后的冲击,6500,2770,4000,0,,击杀|人造人精英队长^,openFB|1@1@9@9@6,去找|特兰克斯^完成任务,clickNPC|NPC01@map1,1,1,-1
8,返回未来,1,1,1,7,9,1,与特兰克斯对话,0,1,与特兰克斯对话,与|特兰克斯^对话,clickNPC|NPC01@map1,去找|特兰克斯^领取任务,clickNPC|NPC01@map1,[主]返回未来<br/>与|特兰克斯^对话,clickNPC|NPC01@map1,[主]返回未来<br/>去找|特兰克斯^完成任务,clickNPC|NPC01@map1,NPC01@map1,NPC01@map1,clickNPC|NPC01@map1,showStory|序章剧情（准备登船）_chapterShow|100@2,该回去了。悟空先生真的和妈妈说的一样强，地球有他保护，任何人都无法再伤害她。|他是我见过最强的战士，真希望能够和他并肩作战。^接任务|[接受]返回未来,三年后我们再回来与他们一起迎战人造人。该回去了，跟大家道别吧。|好的。再见了各位。^还任务|[完成]返回未来,,8500,3630,4400,0,,与|特兰克斯^对话,clickNPC|NPC01@map1,去找|特兰克斯^完成任务,,1,1,-1
9,初入龙珠世界,1,1,1,8,7004,1,与小悟空对话,0,1,与小悟空对话,与|小悟空^对话,clickNPC|NPC05@map2,去找|小悟空^领取任务,clickNPC|NPC05@map2,[主]初入龙珠世界<br/>与|小悟空^对话,clickNPC|NPC05@map2,[主]初入龙珠世界<br/>去找|小悟空^完成任务,clickNPC|NPC05@map2,NPC05@map2,NPC05@map2,showStory|第一章（初入龙珠世界）_clickNPC|NPC05@map2,chapterShow|2,你是什么怪物，为什么突然从天上掉下来？|好疼，这是哪里？小悟空？难道我又穿越了？^接任务|[接受]初入龙珠世界,你受伤了，跟我回去我替你疗伤。爷爷说过，习武之人要帮助需要帮助的人。|好的，谢谢。^还任务|[完成]初入龙珠世界,,11000,4710,4800,1*11002*1,,与|小悟空^对话,clickNPC|NPC05@map2,去找|小悟空^完成任务,clickNPC|NPC05@map2,1,1,-1
7004,家园,1,5,1,9,7005,1,从右上角家园按钮进入家园界面，开启控制室，并将控制室升到10级,0,1,从右上角家园按钮进入家园界面，开启控制室，并将控制室升到10级,从右上角家园按钮进入家园界面，开启控制室，并将控制室升到10级,,去找|小悟空^领取任务,clickNPC|NPC05@map2,[主]家园<br/>从右上角家园按钮进入家园界面，开启控制室，并将控制室升到10级,,[主]家园<br/>去找|小悟空^完成任务,clickNPC|NPC05@map2,NPC05@map2,NPC05@map2,"activeFunction(19),moveToNextCampsite(1#1)",clickNPC|NPC05@map2,这里就是你的家园了，家园的建造和升级可是需要耐心的，赶快进去看看吧。|多谢。^接任务|[接受]家园,你已经掌握了家园建设的基本，记得要经常升级家园哦。|好的。谢谢。^还任务|[完成]家园,先尝试一下升级家园主控室吧！|没问题。^进行中|[进行中]家园,1000,210,2500,0,,[主]家园<br/>从右上角家园按钮进入家园界面，开启控制室，并将控制室升到10级,,[主]家园<br/>去找|小悟空^完成任务,clickNPC|NPC05@map2,1,2,3
7005,伙伴训练,1,5,1,7004,7006,1,从右上角家园按钮进入家园界面，开启训练室，训练并突飞伙伴1次,0,1,从右上角家园按钮进入家园界面，开启训练室，训练并突飞伙伴1次,从右上角家园按钮进入家园界面，开启训练室，训练并突飞伙伴1次,,去找|小悟空^领取任务,clickNPC|NPC05@map2,[主]伙伴训练<br/>从右上角家园按钮进入家园界面，开启训练室，训练并突飞伙伴1次,,[主]伙伴训练<br/>去找|小悟空^完成任务,clickNPC|NPC05@map2,NPC05@map2,NPC05@map2,activeCampsiteRoom(2),clickNPC|NPC05@map2,训练室是家园最实用的房间了，在这里可以让伙伴随时获得经验，以及快速的突飞。|我现在就去看看。^接任务|[接受]伙伴训练,你已经掌握了训练室的使用，记得不要让训练室闲置哦。|好的。谢谢。^还任务|[完成]伙伴训练,伙伴训练的方法很简单，应该难不倒你吧！|没问题。^进行中|[进行中]伙伴训练,1000,210,2500,0,,[主]伙伴训练<br/>从右上角家园按钮进入家园界面，开启训练室，训练并突飞伙伴1次,,[主]家园<br/>去找|小悟空^完成任务,clickNPC|NPC05@map2,1,2,4
7006,科技研究,1,5,1,7005,10,1,从右上角家园按钮进入家园界面，开启研究室，研究任意科技1次,0,1,从右上角家园按钮进入家园界面，开启研究室，研究任意科技1次,从右上角家园按钮进入家园界面，开启研究室，研究任意科技1次,,去找|小悟空^领取任务,clickNPC|NPC05@map2,[主]科技研究<br/>从右上角家园按钮进入家园界面，开启研究室，研究任意科技1次,,[主]科技研究<br/>去找|小悟空^完成任务,clickNPC|NPC05@map2,NPC05@map2,NPC05@map2,activeCampsiteRoom(3),activeFunction(511),研究室可以研究各种科技，提升所有伙伴的战斗力！|我现在就去看看。^接任务|[接受]科技研究,科技研究增加的属性可不少哦，记得要经常升级。|好的。谢谢。^还任务|[完成]科技研究,按照指引进行，升级科技很简单的！|没问题。^进行中|[进行中]科技研究,1000,210,2500,0,,[主]科技研究<br/>从右上角家园按钮进入家园界面，开启研究室，研究任意科技1次,,[主]家园<br/>去找|小悟空^完成任务,clickNPC|NPC05@map2,1,2,5
8001,添加好友,2,6,1,7006,0,1,添加一名玩家为好友,0,1,添加一名玩家为好友,添加一名玩家为好友,,去找|小悟空^领取任务,clickNPC|NPC05@map2,[支]添加好友<br/>添加一名玩家为好友,,[支]添加好友<br/>去找|小悟空^完成任务,clickNPC|NPC05@map2,NPC05@map2,NPC05@map2,,,你已经开启好友功能，添加一名玩家为好友吧！|好的。^接任务|[接受]添加好友,你已经成功添加过好友了，添加好友后可以快捷订单哦！|好的。^还任务|[完成]添加好友,打开好友界面就可以添加好友，很容易的，你试试看吧！|没问题。^进行中|[进行中]添加好友,1000,210,2500,2*81000*1,,[支]添加好友<br/>添加一名玩家为好友,,[支]添加好友<br/>去找|小悟空^完成任务,clickNPC|NPC05@map2,1,2,-1
10,森林狩猎,1,2,1,7006,11,1,击败狼群头领,12,1,击败狼群头领,击杀|狼群头领^,openFB|2@2@12@12@6,去找|小悟空^领取任务,clickNPC|NPC05@map2,[主]森林狩猎<br/>击杀|狼群头领^({0}/{1}),openFB|2@2@12@12@6,[主]森林狩猎<br/>去找|小悟空^完成任务,clickNPC|NPC05@map2,NPC05@map2,NPC05@map2,"openFB|2@2@12@12@6,addSection(10)",,有些饿了呢，今天吃什么好呢？|山上有狼叫，去打只狼好了。^接任务|[接受]森林狩猎,哈哈，这么快就有得吃了。|嗯！你手艺真不错。^还任务|[完成]森林狩猎,需要帮忙吗？|我一个人就可以搞定。^进行中|[进行中]森林狩猎,12500,5350,5100,0,,击杀|狼群头领^,openFB|2@2@12@12@6,去找|小悟空^完成任务,clickNPC|NPC05@map2,1,2,-1
11,森林中的强者,1,2,1,10,9001,1,击败小悟空,13,1,击败小悟空,击败|小悟空^,openFB|2@2@13@13@6,去找|小悟空^领取任务,clickNPC|NPC05@map2,[主]森林中的强者<br/>击败|小悟空^({0}/{1}),openFB|2@2@13@13@6,[主]森林中的强者<br/>去找|小悟空^完成任务,clickNPC|NPC05@map2,NPC05@map2,NPC05@map2,"openFB|2@2@13@13@6,addSection(13)",,吃的好饱，我们运动下吧。自从爷爷死后我就很久没好好和人打一场了。|我也正有此意。^接任务|[接受]与小悟空切磋,好厉害，你是爷爷之外我见过最厉害的人。|额，除了爷爷你见过别的人吗？^还任务|[完成]与小悟空切磋,你伤口不会有影响吧？|只是皮外伤，不影响我们比试。^进行中|[进行中]与小悟空切磋,12500,5350,5100,0,,击败|小悟空^,openFB|2@2@13@13@6,去找|小悟空^完成任务,clickNPC|NPC05@map2,1,2,-1
9001,获得4星龙珠,1,1,1,11,9001,1,与小悟空对话,0,0,与小悟空对话,与|小悟空^对话,clickNPC|NPC05@map2,去找|小悟空^领取任务,clickNPC|NPC05@map2,[主]获得4星龙珠<br/>与|小悟空^对话,clickNPC|NPC05@map2,[主]获得4星龙珠<br/>去找|小悟空^完成任务,clickNPC|NPC05@map2,NPC05@map2,NPC05@map2,openActiveDegreeBox(4),,这是爷爷留给我的珠子，他说只有最强的人才能保护它，现在就由你保管吧。|这是你爷爷的遗物，我怎么能收下。^接任务|[接受]获得4星龙珠,决定了，我要和你一起去修行，我会很快超越你的。到时候堂堂正正的拿回珠子。|求之不得，能和你并肩战斗是我的梦想。^还任务|[完成]获得4星龙珠,,0,0,1900,0,,与|小悟空^对话,clickNPC|NPC05@map2,去找|小悟空^完成任务,clickNPC|NPC05@map2,1,2,-1
7007,第二个伙伴,1,5,1,9999,7008,1,招募小悟空，并将其放入阵型,0,1,招募小悟空，并将其放入阵型,招募小悟空，并将其放入阵型,,去找|小悟空^领取任务,clickNPC|NPC05@map2,[主]第二个伙伴<br/>招募小悟空，并将其放入阵型,,[主]第二个伙伴<br/>去找|小悟空^完成任务,clickNPC|NPC05@map2,NPC05@map2,NPC05@map2,,clickNPC|NPC05@map2,我在酒馆等你，你不会忘了怎么招募伙伴了吧？|当然没有忘记。^接任务|[接受]第二个伙伴,虽然我们是伙伴，但是我一定会超越你，可不要让我太轻松哦。|呵呵，有你在后面追赶我一定不会松懈的。^还任务|[完成]第二个伙伴,不要磨磨蹭蹭的。|好的。^进行中|[进行中]第二个伙伴,1000,210,2500,0,,[主]第二个伙伴<br/>招募小悟空，并将其放入阵型,,[主]第二个伙伴<br/>去找|小悟空^完成任务,clickNPC|NPC05@map2,1,2,6
7008,探险出航,1,5,1,9001,7009,1,从右上角家园按钮进入家园界面，开启载具室，探险5次,0,1,从右上角家园按钮进入家园界面，开启载具室，探险1次,从右上角家园按钮进入家园界面，开启载具室，探险1次,,去找|小悟空^领取任务,clickNPC|NPC05@map2,[主]探险出航<br/>从右上角家园按钮进入家园界面，开启载具室，探险1次,,[主]探险出航<br/>去找|小悟空^完成任务,clickNPC|NPC05@map2,NPC05@map2,NPC05@map2,activeCampsiteRoom(5),clickNPC|NPC05@map2,我们一起去探险吧，丰厚的宝藏在等着我们。从家园载具室出发探险，可以获得大量索尼哦。|我已经迫不及待了。^接任务|[接受]探险出航,不错不错，收获很大嘛，探险的时候你有获得藏宝图吗？藏宝图可以开启更多类型的奖励哦。|这个我还真没注意。^还任务|[完成]探险出航,不要磨磨蹭蹭的。|好的。^进行中|[进行中]出航探险,1000,210,2500,0,,[主]探险出航<br/>从右上角家园按钮进入家园界面，开启载具室，探险1次,,[主]第二个伙伴<br/>去找|小悟空^完成任务,clickNPC|NPC05@map2,1,2,7
7009,家园生产,1,5,1,7008,12,1,从右上角家园按钮进入家园界面，开启生产室，生产5次,0,1,从右上角家园按钮进入家园界面，开启生产室，生产1次,从右上角家园按钮进入家园界面，开启生产室，生产1次,,去找|小悟空^领取任务,clickNPC|NPC05@map2,[主]家园生产<br/>从右上角家园按钮进入家园界面，开启生产室，生产1次,,[主]家园生产<br/>去找|小悟空^完成任务,clickNPC|NPC05@map2,NPC05@map2,NPC05@map2,activeCampsiteRoom(4),clickNPC|NPC05@map2,家园还有一个很重要的功能就是生产胶囊，生产胶囊可以卖出获得大量索尼，还可能生产出特殊胶囊。|家园功能真是强大。^接任务|[接受]家园生产,生产的东西只有卖出才能换成索尼，你可以自己出售，每天生产室也会自动卖出所有的胶囊。特殊胶囊可以赠送给伙伴增加亲密度。|了解了。^还任务|[完成]家园生产,不要磨磨蹭蹭的。|好的。^进行中|[进行中]家园生产,1000,210,2500,0,,[主]家园生产<br/>从右上角家园按钮进入家园界面，开启生产室，生产1次,,[主]第二个伙伴<br/>去找|小悟空^完成任务,clickNPC|NPC05@map2,1,2,8
12,营救布尔玛,1,2,1,7009,9002,1,击败巨型翼龙,16,1,击败巨型翼龙,击杀|巨型翼龙^,openFB|2@2@16@16@6,去找|小悟空^领取任务,clickNPC|NPC05@map2,[主]营救布尔玛<br/>击败|巨型翼龙^({0}/{1}),openFB|2@2@16@16@6,[主]营救布尔玛<br/>去找|小悟空^完成任务,clickNPC|NPC05@map2,NPC05@map2,NPC05@map2,"showStory|第一章营救布尔玛任务_openFB|2@2@16@16@6,addSection(14)",activeFunction(9),快看，是翼龙。可惜已经吃饱了，烤翼龙翅我最喜欢了。|不对，翼龙抓着个女孩。我们快去救她。^接任务|[接受]营救布尔玛,这个就是女孩？爷爷说对女孩要体贴。|你爷爷说的有道理。^还任务|[完成]营救布尔玛,翼龙快飞走了。|这点高度我们应该能跳上去。^进行中|[进行中]营救布尔玛,12500,5350,5100,0,,击杀|巨型翼龙^,openFB|2@2@16@16@6,去找|小悟空^完成任务,clickNPC|NPC05@map2,1,2,-1
9002,获得5星龙珠,1,1,1,12,13,1,与小悟空对话,0,0,与小悟空对话,与|小悟空^对话,clickNPC|NPC05@map2,去找|小悟空^领取任务,clickNPC|NPC05@map2,[主]获得5星龙珠<br/>与|小悟空^对话,clickNPC|NPC05@map2,[主]获得5星龙珠<br/>去找|小悟空^完成任务,clickNPC|NPC05@map2,NPC05@map2,NPC05@map2,openActiveDegreeBox(5),,咦？翼龙脖子上挂着和爷爷一样的珠子！奇怪，里面有五颗星。|我记起来了，或许这就是龙珠。^接任务|[接受]获得5星龙珠,龙珠？那是什么东西？|我只是听过传说，它能实现人的愿望。我们要保管好，不能让坏人得到它。^还任务|[完成]获得5星龙珠,,0,0,1900,0,,与|小悟空^对话,clickNPC|NPC05@map2,去找|小悟空^完成任务,clickNPC|NPC05@map2,1,2,-1
13,找寻龙珠的女孩,1,1,1,9002,9003,1,与布尔玛对话,0,0,与布尔玛对话,与|布尔玛^对话,clickNPC|NPC05@map2,去找|小悟空^领取任务,clickNPC|NPC05@map2,[主]找寻龙珠的女孩<br/>与|布尔玛^对话,clickNPC|NPC06@map2,[主]找寻龙珠的女孩<br/>去找|布尔玛^完成任务,clickNPC|NPC06@map2,NPC05@map2,NPC06@map2,clickNPC|NPC06@map2,clickNPC|NPC06@map2,女孩子长这样啊？和我也没什么不同嘛。|我们还是看看她有没有受伤比较好。^接任务|[接受]找寻龙珠的女孩,啊~我的衣服破了，这可是今年春季新款。|呃，我看她挺好的。^还任务|[完成]找寻龙珠的女孩,她好像没受伤。|看看再说。^进行中|[进行中]找寻龙珠的女孩,15000,6420,5500,0,,与|布尔玛^对话,clickNPC|NPC05@map2,去找|布尔玛^完成任务,clickNPC|NPC06@map2,1,2,-1
9003,获得2星龙珠,1,1,1,13,14,1,与布尔玛对话,0,0,与布尔玛对话,与|布尔玛^对话,clickNPC|NPC06@map2,去找|布尔玛^领取任务,clickNPC|NPC06@map2,[主]获得2星龙珠<br/>与|布尔玛^对话,clickNPC|NPC06@map2,[主]获得2星龙珠<br/>去找|布尔玛^完成任务,clickNPC|NPC06@map2,NPC06@map2,NPC06@map2,openActiveDegreeBox(2),,5星龙珠？要不是为了它我也不会差点被翼龙吃掉。|你知道龙珠的传说？你在搜集它？^接任务|[接受]获得2星龙珠,那是当然，只要你们愿意帮我，我可以给你们很多钱。你们不会眼看着这么可爱的女孩有难也无动于衷吧？|额~只要你不做坏事，我们就把龙珠给你。^还任务|[完成]获得2星龙珠,,0,0,1900,0,,与|布尔玛^对话,clickNPC|NPC06@map2,去找|布尔玛^完成任务,clickNPC|NPC06@map2,1,2,-1
14,追寻龙珠下落,1,2,1,9003,15,1,击败盗贼熊,19,1,击败盗贼熊,击杀|盗贼熊^,openFB|2@2@19@19@6,去找|布尔玛^领取任务,clickNPC|NPC06@map2,[主]追寻龙珠下落<br/>击杀|盗贼熊^({0}/{1}),openFB|2@2@19@19@6,[主]追寻龙珠下落<br/>去找|布尔玛^完成任务,clickNPC|NPC06@map2,NPC06@map2,NPC06@map2,"openFB|2@2@19@19@6,addSection(17)",showStory|第一章（龙珠的来历）_clickNPC|NPC06@map2,太好了，一下子就找到一半，我布尔玛果然是天才。啊~少了一颗。|布尔玛？好吧，我先去替你找龙珠。^接任务|[接受]追寻龙珠下落,找到了吗？找到了吗？|没有，周围的怪兽都问过了，没有线索。^还任务|[完成]追寻龙珠下落,呜~拜托你啦，一定要帮我找回龙珠。|额~原来布尔玛阿姨年轻时是这样子。^进行中|[进行中]追寻龙珠下落,15000,6420,5500,0,,击杀|盗贼熊^,openFB|2@2@19@19@6,去找|布尔玛^完成任务,clickNPC|NPC06@map2,1,2,-1
15,抢龙珠的老头,1,2,1,14,9004,1,与龟仙人战斗坚持3回合,20,1,与龟仙人战斗坚持3回合,与|龟仙人^战斗坚持3回合,openFB|2@2@20@20@6,去找|布尔玛^领取任务,clickNPC|NPC06@map2,[主]抢龙珠的老头<br/>与|龟仙人^战斗坚持3回合({0}/{1}),openFB|2@2@20@20@6,[主]抢龙珠的老头<br/>去找|布尔玛^完成任务,clickNPC|NPC06@map2,NPC06@map2,NPC06@map2,"openFB|2@2@20@20@6,addSection(20)",clickNPC|NPC06@map2,对了，龙珠雷达，用雷达就能找到龙珠。|这么冒冒失失的，真的是布尔玛阿姨吗？^接任务|[接受]抢龙珠的老头,被偷走了？可恶，那个老头明明那么厉害也会被偷？|老爷爷说会赔你一颗，不过要你单独过去谈。^还任务|[完成]抢龙珠的老头,快点，雷达有反应。龙珠在移动，一定是被什么人偷走了。|别急，距离不远很快就能追上。^进行中|[进行中]抢龙珠的老头,15000,6420,5500,0,,与|龟仙人^战斗坚持3回合,openFB|2@2@20@20@6,去找|布尔玛^完成任务,clickNPC|NPC06@map2,1,2,-1
