error_code,error_type,error_info,error_comment
0x0538,1,"等级不足,修炼失败","等级不足,修炼失败"
0x0539,1,"金币不足,修炼失败","金币不足,修炼失败"
0x0540,1,"游戏币不足,修炼失败","游戏币不足,修炼失败"
0x0541,1,"星级不足,修炼失败 ","星级不足,修炼失败 "
0x0542,1,"等级不足,无法领悟","等级不足,无法领悟"
0x0543,1,"金币不足,无法增加领悟成功率 ","金币不足,无法增加领悟成功率 "
0x0544,1,"阅历不足,无法领悟","阅历不足,无法领悟"
0x0545,1,"经验不足,无法领悟","经验不足,无法领悟"
0x0546,1,每提升10级可进行一次领悟,每提升10级可进行一次领悟
0x0547,1,没有足够空间，无法聚气,没有足够空间，无法聚气
0x0548,1,索尼不足，无法聚气,索尼不足，无法聚气
0x0549,1,"金钱不足,不能购买","金钱不足,不能购买"
0x0550,1,已装备同类型元气,已装备同类型元气
0x0551,1,没有可抽取的被动技能了,没有可抽取的被动技能了
0x0552,1,金钱不足，无法重置技能,金钱不足，无法重置技能
0x0553,1,已达到装备的最大上限,已达到装备的最大上限
0x0554,1,低品质不能吞噬高品质的元气,低品质不能吞噬高品质的元气
0x0555,1,创建角色不能有屏蔽字,创建角色不能有屏蔽字
0x0556,1,金币不足，不能进行金币聚气,金币不足，不能进行金币聚气
0x0557,1,被动点数不足,被动点数不足
0x0558,1,金币不足，无法激活,金币不足，无法激活
0x0559,1,金钱不足，无法捐款,金钱不足，无法捐款
0x0560,2,每10级才能开启一个元气位置,每10级才能开启一个元气位置
0x0561,1,挑战次数不足,挑战次数不足
0x0562,1,道具数量不足，不能招募,道具数量不足，不能招募
0x0563,1,VIP等级不足,VIP等级不足
0x0564,1,会谈次数不足,会谈次数不足
0x0565,1,会谈刷新次数不,会谈刷新次数不
0x0566,1,"会谈值 不足,不能兑换","会谈值 不足,不能兑换"
0x0567,2,你已经加入了其他队伍,你已经加入了其他队伍
0x0568,2,队伍已满 ,队伍已满 
0x0569,2,"等级不足,不能加入队伍 ","等级不足,不能加入队伍 "
0x0570,2,"不是同一公会,不能加入队伍","不是同一公会,不能加入队伍"
0x0571,1,"此副本已满,不能创建队伍 ","此副本已满,不能创建队伍 "
0x0572,2,多人副本次数已用完,多人副本次数已用完
0x0573,2,"队伍人数未达到3人,不能开战 ","队伍人数未达到3人,不能开战 "
0x0574,1,"金币不足,无法开通","金币不足,无法开通"
0x0575,1,金币不足，无法消除,金币不足，无法消除
0x0576,1,"控制室等级不足,不能升级 ","控制室等级不足,不能升级 "
0x0577,1,"生产材料不足,不能升级","生产材料不足,不能升级"
0x0578,1,"索尼不足,不能升级","索尼不足,不能升级"
0x0579,1,"主角等级不足,不能升级","主角等级不足,不能升级"
0x0580,1,"金币不足,不能加速","金币不足,不能加速"
0x0581,1,"生产材料时间已到最大上限,不能加速","生产材料时间已到最大上限,不能加速"
0x0582,1,"此伙伴在营地训练,不能离队","此伙伴在营地训练,不能离队"
0x0583,1,"此位置上已有伙伴,不能训练 ","此位置上已有伙伴,不能训练 "
0x0584,1,"金币不足,不能训练 ","金币不足,不能训练 "
0x0585,1,此伙伴已在训练,此伙伴已在训练
0x0586,1,"游戏币不足,不能训练 ","游戏币不足,不能训练 "
0x0587,1,伙伴等级不能超过人物等级，不能进行训练,伙伴等级不能超过人物等级，不能进行训练
0x0588,1,需要VIP2才能开启此训练项,需要VIP2才能开启此训练项
0x0589,1,"VIP等级不足,不能开启","VIP等级不足,不能开启"
0x0590,1,"金币不足,不能开启","金币不足,不能开启"
0x0591,1,"阅历不足,不能突飞","阅历不足,不能突飞"
0x0592,1,伙伴等级不能超过人物等级，不能进行突飞,伙伴等级不能超过人物等级，不能进行突飞
0x0593,1,突飞冷却时间已大最大上限,突飞冷却时间已大最大上限
0x0594,1,"阅历不足,不能升级","阅历不足,不能升级"
0x0595,1,营地技能等级不能超过研究室等级,营地技能等级不能超过研究室等级
0x0596,1,研究室冷却中,研究室冷却中
0x0597,1,营地等级不足不能开启,营地等级不足不能开启
0x0598,1,主伙伴不能进行训练,主伙伴不能进行训练
0x0599,1,建筑队列冷却中,建筑队列冷却中
0x0600,1,没有生产加速次数,没有生产加速次数
0x0601,1,技能等级不能超过研究室等级,技能等级不能超过研究室等级
0x0602,1,突飞冷却中,突飞冷却中
0x0603,1,"金币不足,无法使用喇叭 ","金币不足,无法使用喇叭 "
0x0604,1,"道具不足,无法使用喇叭 ","道具不足,无法使用喇叭"
0x0605,1,"VIP等级不足,不能开启","VIP等级不足,不能开启"
0x0606,1,已经开启了最大技能冷却上限,已经开启了最大技能冷却上限
0x0607,1,仓库已满 ,仓库已满 
0x0608,1,"积分不足,不能兑换","积分不足,不能兑换"
0x0609,1,"索尼不足,不能炼制","索尼不足,不能炼制"
0x0610,1,"金币不足,不能炼制","金币不足,不能炼制"
0x0611,1,不能炼制，今日炼制次数已经用完,不能炼制，今日炼制次数已经用完
0x0612,1,"金币不足,不能激活工匠","金币不足,不能激活工匠"
0x0613,1, 积分兑换成功, 积分兑换成功
0x0614,1,工匠等级已到上限,工匠等级已到上限
0x0615,1,太好了，有一名工匠来参与了你的制作,太好了，有一名工匠来参与了你的制作
0x0616,1,太好了，有一名工匠等级提升了1级,太好了，有一名工匠等级提升了1级
0x0617,1,"金币不足,不能复活","金币不足,不能复活"
0x0618,1,"阅历不足,不能鼓舞","阅历不足,不能鼓舞"
0x0619,1,阅历鼓舞已达上限,阅历鼓舞已达上限
0x0620,1,金币鼓舞已达上限,金币鼓舞已达上限
0x0621,1,"金币不足,不能鼓舞","金币不足,不能鼓舞"
0x0622,1,鼓舞失败,鼓舞失败
0x0623,1,刷新次数不足 ,刷新次数不足 
0x0624,1,"阅历不足,不能刷新.","阅历不足,不能刷新."
0x0625,1,"金币不足,不能刷新.","金币不足,不能刷新."
0x0626,1,"金币不足,不能清除.","金币不足,不能清除."
0x0627,1,今天打劫次数已完.,今天打劫次数已完.
0x0628,1,不能再打劫此玩家了,不能再打劫此玩家了
0x0629,1,打劫时间冷却中,打劫时间冷却中
0x0630,1,寻宝次数不足,寻宝次数不足
0x0631,1,体力不足,体力不足
0x0632,1,"金币不足,不能挑战","金币不足,不能挑战"
0x0633,1,"金币不足,不能增加挑战次数","金币不足,不能增加挑战次数"
0x0634,1,"金币不足,不能刷新竞技场 ","金币不足,不能刷新竞技场 "
0x0635,1,"冷却时间未到,不能挑战","冷却时间未到,不能挑战"
0x0636,1,"没有次数,不能挑战","没有次数,不能挑战"
0x0637,1,领取成功,领取成功
0x0638,1,营地已升级,营地已升级
0x0639,1,延时限制：9：00-22：00,延时限制：9：00-22：00
0x0640,1,无法开启，请在占领后十分钟以内开启,无法开启，请在占领后十分钟以内开启
0x0641,1,"金币不足,不能淘金 ","金币不足,不能淘金 "
0x0642,1,掠夺冷却中,掠夺冷却中
0x0643,1,掠夺保护中,掠夺保护中
0x0644,1,"掠夺次数已用完,请明天再来","掠夺次数已用完,请明天再来"
0x0645,1,占领保护中,占领保护中
0x0646,1,占领已达到上限,占领已达到上限
0x0647,1,行动力已达到上限,行动力已达到上限
0x0648,1,购买行动力已达到上限 ,购买行动力已达到上限 
0x0649,1,对方没有开启淘金模式，不能掠夺,对方没有开启淘金模式，不能掠夺
0x0650,1,此训练位置已开启,此训练位置已开启
0x0651,1,"金币不足,不能突飞","金币不足,不能突飞"
0x0652,1,今天激活次数已用完 ,今天激活次数已用完 
0x0653,1,"VIP等级不足,不能购买 ","VIP等级不足,不能购买 "
0x0654,1,创建公会不能有屏蔽字,创建公会不能有屏蔽字
0x0655,1,公会名不能超过6个字,公会名不能超过6个字
0x0656,1,输入的密码不正确 ,输入的密码不正确 
0x0657,1,公会解散成功,公会解散成功
0x0658,1,VIP等级不足不能捐献,VIP等级不足不能捐献
0x0659,1,"积分不足,不能升级","积分不足,不能升级"
0x0660,1,高品质元气不能卖出 ,高品质元气不能卖出 
0x0661,1,资源矿占领后10分钟内可开启 ,资源矿占领后10分钟内可开启 
0x0662,1,"VIP等级不足,不能延时","VIP等级不足,不能延时"
0x0663,1,"VIP等级未到3级,不能使用金币突飞","VIP等级未到3级,不能使用金币突飞"
0x0664,1,金币突飞次数已用完,金币突飞次数已用完
0x0665,1,积分不足，不能激活该徽记,积分不足，不能激活该徽记
0x0669,1,禁言中,禁言中
0x0670,2,封号中 ,封号中 
0x0671,1,解锁背包格子已达上限 ,解锁背包格子已达上限 
0x0672,1,"亲,通过指定的关卡才能变身.","亲,通过指定的关卡才能变身."
0x0673,1,邀请好友人数不足,邀请好友人数不足
0x0674,1,已达到最高品质,已达到最高品质
0x2000,1,一键制作功能需要VIP4以上才能使用,一键制作功能需要VIP4以上才能使用
0x2001,1,不能对自己换装,不能对自己换装
0x2002,1,BOSS战最后30秒不能进入,BOSS战最后30秒不能进入
0x2003,1,任务未完成，不能领取礼包 ,任务未完成，不能领取礼包 
0x2004,1,领取失败，礼包已被领完,领取失败，礼包已被领完
0x2005,1,开服活动已结束,开服活动已结束
0x2006,1,不能加入亲友团 ,不能加入亲友团 
0x2007,2,队伍已解散,队伍已解散
0x2008,1,答案验证出问题 ,答案验证出问题 
0x2009,1,等级不足，不能参与知识竞答活动,等级不足，不能参与知识竞答活动
0x2010,1,活动已结束或还没有开始,活动已结束或还没有开始
0x2011,1,题目未找到 ,题目未找到 
0x2012,1,活动进行中，不能购买奖励,活动进行中，不能购买奖励
0x2013,1,系统错误,系统错误
0x2014,1,今天已参加了活动或已购买了活动奖励，购买失败 ,今天已参加了活动或已购买了活动奖励，购买失败 
0x2015,1,今日VIP工资已领取,今日VIP工资已领取
0x2016,1,知识竞答不足20级不能金币购买奖励,知识竞答不足20级不能金币购买奖励
0x2017,1,功能未开启 ,功能未开启 
0x8030,1,没有足够金币,没有足够金币
0x8031,1,玩家在阵型上不允许下阵,玩家在阵型上不允许下阵
0x8032,1,玩家有装备或元气不允许下阵,玩家有装备或元气不允许下阵
0x8033,1,没有足够的等级升级亲密度,没有足够的等级升级亲密度
0x8034,1,20次金币赠送增加亲密度已用完,20次金币赠送增加亲密度已用完
0x8035,1,含有主角,含有主角
0x8036,1,不允许自己给自己传承亲密度,不允许自己给自己传承亲密度
0x8037,1,传承人的亲密度值小于0,传承人的亲密度值小于0
0x8038,1,传承者经验值小于等于被传承者不能传承,传承者经验值小于等于被传承者不能传承
0x8039,1,缺乏亲密度道具,缺乏亲密度道具
0x8040,1,亲密度道具数量不够用,亲密度道具数量不够用
0x8041,1,道具类型错误，不是亲密度类型道具,道具类型错误，不是亲密度类型道具
0x8042,1,还有亲密度道具没有拾取,还有亲密度道具没有拾取
0x8043,1,没有足够的阅历 ,没有足够的阅历 
0x8044,1,没有足够的背包格子,没有足够的背包格子
0x8045,1,已经存在该技能,已经存在该技能
0x8046,1,技能已经学习完了,技能已经学习完了
0x8047,1,超过最大的亲密度等级,超过最大的亲密度等级
0x8048,1,伙伴不存在,伙伴不存在
0x8049,1,阵型的阵位没有开启 ,阵型的阵位没有开启 
0x8050,1,阵型不存在,阵型不存在
0x8051,1,伙伴已经存在于该阵型上,伙伴已经存在于该阵型上
0x8052,1,阵型上人数已满,阵型上人数已满
0x8053,1,玩家等级不够进入该地图的条件,玩家等级不够进入该地图的条件
0x8054,1,玩家需要完成相关的任务,玩家需要完成相关的任务
0x8055,1,金币赠送次数不足,金币赠送次数不足
0x8056,1,一次性关卡不能重复通过,一次性关卡不能重复通过
0x8057,1,"该关卡没有通过,不能挂机","该关卡没有通过,不能挂机"
0x8058,1,没有足够的行动力,没有足够的行动力
0x8059,1,不能上移,不能上移
0x8060,1,不允许邀请朋友加入,不允许邀请朋友加入
0x8061,1,等级不够,等级不够
0x8062,2,"等级不够,不能接任务","等级不够,不能接任务"
0x8063,2,没有完成任务，无法提交,没有完成任务，无法提交
0x8064,2,道具不足，不能变身,道具不足，不能变身
0x8065,2,没有道具，不能变身,没有道具，不能变身
0x8066,2,人物进阶次数已满,人物进阶次数已满
0x8067,2,"游戏币不足,进阶失败","游戏币不足,进阶失败"
0x8068,2,"阅历不足,进阶失败","阅历不足,进阶失败"
0x8069,2,"人物等级不足,进阶失败","人物等级不足,进阶失败"
0x8070,2,道具不足，进阶失败,道具不足，进阶失败
0x8071,2,没有道具，不能进阶,没有道具，不能进阶
0x8072,2,主线任务不能放弃,主线任务不能放弃
0x8073,2,"人物进阶次数不够,变身失败","人物进阶次数不够,变身失败"
0x8074,2,亲密度传承时使用的道具数量不足,亲密度传承时使用的道具数量不足
0x8075,2,没有亲密度传承时使用的道具，不能亲密度传承,没有亲密度传承时使用的道具，不能亲密度传承
0x8076,2,不是亲密度传承时使用的道具,不是亲密度传承时使用的道具
0x8077,2,不是装备类型道具，不能兑换成亲密度礼物,不是装备类型道具，不能兑换成亲密度礼物
0x8078,2,装备品质不够，不能兑换成亲密度礼物,装备品质不够，不能兑换成亲密度礼物
0x8080,2,兑换出来的亲密度礼物道具未拾取，不能再次进行兑换,兑换出来的亲密度礼物道具未拾取，不能再次进行兑换
0x8081,2,没有可以拾取的礼物道具了,没有可以拾取的礼物道具了
0x8082,2,已到达亲密度最大等级上限,已到达亲密度最大等级上限
0x8083,2,没有消耗点数不需要重置,没有消耗点数不需要重置
0x8084,2,解锁新的会谈奖励,解锁新的会谈奖励
0x8085,2,"钥匙不足,不能开启宝箱","钥匙不足,不能开启宝箱"
0x8086,1,该宝箱已经开过了,该宝箱已经开过了
0x8087,2,藏宝图数量不足,藏宝图数量不足
0x8088,2,钥匙数量不能大于剩余宝箱数量,钥匙数量不能大于剩余宝箱数量
0x8089,2,已达到今日最大免费探险次数,已达到今日最大免费探险次数
0x8090,2,游戏币不足,游戏币不足
0x8091,1,被订购者今日被订单次数已满,被订购者今日被订单次数已满
0x8092,1,今日订购次数已满,今日订购次数已满
0x8093,1,请等待冷却,请等待冷却
0x8094,1,生产次数不足,生产次数不足
0x8095,1,金币生产次数不够,金币生产次数不够
0x8096,1,没有冷却时间，不用减少冷却,没有冷却时间，不用减少冷却
0x8097,1,库存不足,库存不足
0x8098,1,自己没有开启生产室,自己没有开启生产室
0x8099,1,对方没有开启生产室,对方没有开启生产室
0x8100,1,被动技能已达最大装备数量，请先卸载已装备的被动技能,被动技能已达最大装备数量，请先卸载已装备的被动技能
0x8101,1,该技能不能重复装备,该技能不能重复装备
0x8102,1,不是装备类型道具,不是装备类型道具
0x8103,1,强化还在冷却中,强化还在冷却中
0x8104,1,强化等级不能大于主角等级,强化等级不能大于主角等级
0x8105,1,相同类型装备才能进行传承,相同类型装备才能进行传承
0x8106,1,传承装备的强化等级不足,传承装备的强化等级不足
0x8107,1,传承装备的强化等级必须大于被传承装备的强化等级,传承装备的强化等级必须大于被传承装备的强化等级
0x8108,1,被传承装备的装备等级必须大于等于传承装备的装备等级,被传承装备的装备等级必须大于等于传承装备的装备等级
0x8109,1,被传承装备的品质必须大于等于传承装备的品质,被传承装备的品质必须大于等于传承装备的品质
0x8110,1,没有进入冷却时间，不需要清除冷却,没有进入冷却时间，不需要清除冷却
0x8111,1,该装备没有洗练属性，不能定向洗练,该装备没有洗练属性，不能定向洗练
0x8112,1,该装备没有定向洗练属性，不能替换,该装备没有定向洗练属性，不能替换
0x8113,1,该装备没有随即洗练属性，不能替换,该装备没有随即洗练属性，不能替换
0x8114,1,转移洗练的装备没有洗练属性，不能转移,转移洗练的装备没有洗练属性，不能转移
0x8115,1,接收洗练装备的装备等级必须大于等于转移洗练装备的装备等级,接收洗练装备的装备等级必须大于等于转移洗练装备的装备等级
0x8116,1,接收洗练装备的品质必须大于等于转移洗练装备的品质,接收洗练装备的品质必须大于等于转移洗练装备的品质
0x8117,1,转移之石数量不足,转移之石数量不足
0x8118,1,没有这个玩家,没有这个玩家
0x8119,1,标题过长,标题过长
0x8120,1,内容过长 ,内容过长 
0x8121,1,不能自己发给自己,不能自己发给自己
0x8122,1,海盗洞寻宝游戏已经开始了,海盗洞寻宝游戏已经开始了
0x8123,1,海盗洞寻宝次数不足,海盗洞寻宝次数不足
0x8124,1,海盗洞寻宝游戏没有开始,海盗洞寻宝游戏没有开始
0x8125,1,今日挖掘次数已用完,今日挖掘次数已用完
0x8126,1,该地区当前不可挖掘,该地区当前不可挖掘
0x8127,1,已经没有炸弹了,已经没有炸弹了
0x8128,1,占卜游戏已经开始了,占卜游戏已经开始了
0x8129,1,占卜游戏次数已用完,占卜游戏次数已用完
0x8130,1,占卜游戏没有开始,占卜游戏没有开始
0x8131,1,强制更换次数已用完,强制更换次数已用完
0x8132,1,今日战斗力评级奖励已领取,今日战斗力评级奖励已领取
0x8133,1,今日任务已做完,今日任务已做完
0x8134,1,该任务已经接受,该任务已经接受
0x8135,1,没有接受该任务,没有接受该任务
0x8136,1,该任务不可交,该任务不可交
0x8137,1,已达到了最大奖励级别,已达到了最大奖励级别
0x8138,1,等级不足不能提升奖励,等级不足不能提升奖励
0x8139,1,积分不足，没有奖励可以领取,积分不足，没有奖励可以领取
0x8140,1,今日奖励已经领取，不能在领取,今日奖励已经领取，不能在领取
0x8141,1,加速次数不足,加速次数不足
0x8142,1,累计剩余时间为零，不需要加速,累计剩余时间为零，不需要加速
0x8143,1,已到达最大级，不能升级 ,已到达最大级，不能升级 
0x8144,1,无法升级成12个小时，vip等级需要达到3级,无法升级成12个小时，vip等级需要达到3级
0x8145,1,无法升级成24个小时，vip等级需要达到4级 ,无法升级成24个小时，vip等级需要达到4级 
0x8146,1,已经接受了一个任务，不能再接任务,已经接受了一个任务，不能再接任务
0x8147,1,物品数量不足,物品数量不足
0x8148,1,今日已领取了奖励，不能提升奖励级别,今日已领取了奖励，不能提升奖励级别
0x8149,1,需要VIP7才能开启超级VIP功能,需要VIP7才能开启超级VIP功能
0x8150,1,已达到当前VIP等级购买次数上限,已达到当前VIP等级购买次数上限
0x8151,1,没有奖励可以抽取,没有奖励可以抽取
0x8152,1,没有开启超级VIP功能，不能使用,没有开启超级VIP功能，不能使用
0x8153,1,会谈购买次数已达到上限，不能购买,会谈购买次数已达到上限，不能购买
0x8154,1,技能类型不一致，该技能不能装备到该位置,技能类型不一致，该技能不能装备到该位置
0x8155,1,您的伙伴还未激活任何可更换技能，请先在天赋或领悟系统中激活,您的伙伴还未激活任何可更换技能，请先在天赋或领悟系统中激活
0x8156,1,已经领取了该奖励,已经领取了该奖励
0x8157,1,今日签到奖励已经领取,今日签到奖励已经领取
0x8158,1,时间没到不能领取,时间没到不能领取
0x8159,1,该技能不能升级,该技能不能升级
0x8160,1,游戏币升级次数已用完,游戏币升级次数已用完
0x8161,1,金币升级次数已用完 ,金币升级次数已用完 
0x8162,1,已经没有奖励可以领取,已经没有奖励可以领取
0x8163,1,等级不足不能领取奖励,等级不足不能领取奖励
0x8164,1,请开通QQ黄钻或QQ年费黄钻,请开通QQ黄钻或QQ年费黄钻
0x8165,1,请先挖掘8个地区,请先挖掘8个地区
0x8166,1,vip等级不足,vip等级不足
0x8167,1,您已经领取过首冲礼包,您已经领取过首冲礼包
0x8168,1,请充值,请充值
0x8169,1,购买次数已用完,购买次数已用完
0x8170,1,对方在保护状态，不能被攻击,对方在保护状态，不能被攻击
0x8171,1,对方已经不是你的下属或主人,对方已经不是你的下属或主人
0x8172,1,对方是你的主人，不能放弃,对方是你的主人，不能放弃
0x8173,1,今日对该下属调教次数已用完,今日对该下属调教次数已用完
0x8174,1,你已经是对方的主人,你已经是对方的主人
0x8175,1,对方是你的主人,对方是你的主人
0x8176,1,下属个数已满,下属个数已满
0x8177,1,今日讨好主人次数已用完 ,今日讨好主人次数已用完 
0x8178,1,对方刚刚被人征服,对方刚刚被人征服
0x8179,1,对方主人情况发生变化,对方主人情况发生变化
0x8180,1,活跃度不够,活跃度不够
0x8181,1,不能在购买该物品了,不能在购买该物品了
0x8182,1,已达到最大炼金次数,已达到最大炼金次数
0x8183,1,CDK不正确,CDK不正确
0x8184,1,CDK已使用 ,CDK已使用 
0x8185,1,已经领取过该CDK类型的奖励,已经领取过该CDK类型的奖励
0x8186,1,跑环类型任务请在NPC处放弃,跑环类型任务请在NPC处放弃
0x8187,1,跑环太累了休息下吧 ,跑环太累了休息下吧 
0x8188,1,本轮跑环已开始,本轮跑环已开始
0x8189,1,本轮跑环未开始,本轮跑环未开始
0x8190,1,本轮10环任务未完成,本轮10环任务未完成
0x8191,1,任务所需道具不足，不能完成任务,任务所需道具不足，不能完成任务
0x8192,1,已到达最大品质,已到达最大品质
0x8193,1,品质没有发生改变,品质没有发生改变
0x8194,1,该资源矿不能被掠夺了,该资源矿不能被掠夺了
0x8195,1,当前删除邮件中有未领取附件，请先领取附件,当前删除邮件中有未领取附件，请先领取附件
0x8196,1,该邮件没有附件,该邮件没有附件
0x9001,1,元气背包已满,元气背包已满
0x9002,1,道具数量不足,道具数量不足
0x9003,1,碎片合成数量不足,碎片合成数量不足
0x9801,1,聚气气力值已满,聚气气力值已满
0x9802,1,未消耗学习点数，不需要进行重置,未消耗学习点数，不需要进行重置
0x9803,1,"声望未达到要求,不能变身","声望未达到要求,不能变身"
0x9804,1,索尼不足,索尼不足
0x9805,1,装备品质不足，不能洗练,装备品质不足，不能洗练
0x9806,1,所选择的装备是同一件，不能进行该操作,所选择的装备是同一件，不能进行该操作
0x9807,1,该伙伴已激活,该伙伴已激活
0x9808,1,没有该道具或装备,没有该道具或装备
0x9809,1,已经拥有该伙伴,已经拥有该伙伴
0x9810,1,该装备不能分解,该装备不能分解
0x9811,1,没有可更换选项,没有可更换选项
0x9812,1,当前VIP级别金币探险次数已满,当前VIP级别金币探险次数已满
0x9813,1,主伙伴等级不足，不能提升亲密度等级,主伙伴等级不足，不能提升亲密度等级
0x9814,1,主伙伴等级不足，不能接受亲密度传承,主伙伴等级不足，不能接受亲密度传承
0x9815,1,大敌当前，请勿卸载装备,大敌当前，请勿卸载装备
