称号id,称号类型,类型参数 类型为2时候填写Url 1的时候填写颜色值,称号名称,气,敏,体,精,生命,暴击,格挡,韧性,识破,攻击力,格斗防御,气功防御,精神防御,暴击率,格挡率,韧性率,识破率,攻击力百分比,格斗防御百分比,气功防御百分比,精神防御百分比,真实伤害值,绝对减伤值
54,1,#0ade55,龙珠玩家,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,1,#0ade55,不做任务会死星人,0,0,0,0,0,65,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,1,#0ade55,打卡机,0,0,0,0,0,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,1,#0ade55,辛勤的战士,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1,#0ade55,任务挑拣者,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,1,#0ade55,任务狙击者,0,0,0,0,120,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1,#0ade55,修炼者,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,1,#0ade55,影武者,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,1,#0ade55,影子杀手,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,1,#0ade55,小伙伴,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,1,#0ade55,亲密伙伴,0,0,0,0,0,0,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,1,#0ade55,窑老板,0,0,0,0,0,0,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,1,#0ade55,大亨,0,0,0,0,0,0,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,1,#0ade55,幸运者,0,0,0,0,0,0,125,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,1,#0ade55,命运青睐者,0,0,0,0,0,100,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,1,#0ade55,麻匪,0,0,0,0,0,10,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
70,1,#0ade55,竞技者,0,0,0,0,0,15,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
71,1,#0ade55,竞技之王,0,0,0,0,0,25,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0
72,1,#0ade55,重量级选手,0,0,0,0,0,25,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0
73,2,73,加冕为王,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0
74,1,#0ade55,聚集地,0,0,0,0,0,0,0,0,0,0,40,40,0,0,0,0,0,0,0,0,0,0,0
75,1,#0ade55,勇士阵营,0,0,0,0,0,0,0,0,0,0,60,60,0,0,0,0,0,0,0,0,0,0,0
76,1,#0ade55,英雄联盟,0,0,0,0,0,0,0,0,0,0,80,80,0,0,0,0,0,0,0,0,0,0,0
77,1,#0ade55,传奇公会,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
78,1,#0ade55,义结金兰,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
79,1,#0ade55,义字当头,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0
80,1,#0ade55,义薄云天,0,0,0,0,100,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,1,#0ade55,怪物猎人,0,0,0,0,150,0,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,1,#0ade55,传说武士,0,0,0,0,120,0,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,1,#0ade55,超级一击,0,0,0,0,0,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,1,#0ade55,最强大脑,0,0,0,20,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,1,#0ade55,竞猜王,0,0,0,30,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,1,#0ade55,答题王,0,0,0,40,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,1,#0ade55,百科全书,30,30,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,1,#0ade55,团队核心,50,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,1,#0ade55,绝对主力,70,70,70,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,1,#0ade55,神一样的队友,90,90,90,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,2,vip1,VIP1,0,0,0,0,0,0,0,0,0,20,20,20,20,0,0,0,0,0,0,0,0,0,0
92,2,vip2,VIP2,0,0,0,0,0,0,0,0,0,40,40,40,40,0,0,0,0,0,0,0,0,0,0
93,2,vip3,VIP3,0,0,0,0,0,0,0,0,0,80,80,80,80,0,0,0,0,0,0,0,0,0,0
94,2,vip4,VIP4,0,0,0,0,0,0,0,0,0,160,160,160,160,0,0,0,0,0,0,0,0,0,0
95,2,vip5,VIP5,0,0,0,0,0,0,0,0,0,240,240,240,240,0,0,0,0,0,0,0,0,0,0
96,2,vip6,VIP6,0,0,0,0,0,0,0,0,0,360,360,360,360,0,0,0,0,0,0,0,0,0,0
97,2,vip7,VIP7,0,0,0,0,0,0,0,0,0,540,540,540,540,0,0,0,0,0,0,0,0,0,0
98,2,vip8,VIP8,0,0,0,0,0,0,0,0,0,810,810,810,810,0,0,0,0,0,0,0,0,0,0
99,2,vip9,VIP9,0,0,0,0,0,0,0,0,0,1200,1200,1200,1200,0,0,0,0,0,0,0,0,0,0
100,2,vip10,VIP10,0,0,0,0,0,0,0,0,0,1800,1800,1800,1800,0,0,0,0,0,0,0,0,0,0
101,2,vip11,VIP11,0,0,0,0,0,0,0,0,0,2800,2800,2800,2800,0,0,0,0,0,0,0,0,0,200
102,2,vip12,VIP12,0,0,0,0,0,0,0,0,0,4200,4200,4200,4200,0,0,0,0,0,0,0,0,0,500
